split,true_class,pred_class,count
train,C1,C1,959
train,C1,C2,17
train,C1,C3,0
train,C1,C4,6
train,C1,C5,82
train,C1,C6,12
train,C2,C1,5
train,C2,C2,919
train,C2,C3,125
train,C2,C4,21
train,C2,C5,6
train,C2,C6,0
train,C3,C1,0
train,C3,C2,67
train,C3,C3,942
train,C3,C4,41
train,C3,C5,1
train,C3,C6,1
train,C4,C1,1
train,C4,C2,14
train,C4,C3,393
train,C4,C4,643
train,C4,C5,10
train,C4,C6,7
train,C5,C1,145
train,C5,C2,23
train,C5,C3,3
train,C5,C4,56
train,C5,C5,814
train,C5,C6,29
train,C6,C1,70
train,C6,C2,9
train,C6,C3,2
train,C6,C4,18
train,C6,C5,124
train,C6,C6,847
val,C1,C1,150
val,C1,C2,13
val,C1,C3,1
val,C1,C4,18
val,C1,C5,49
val,C1,C6,9
val,C2,C1,8
val,C2,C2,172
val,C2,C3,48
val,C2,C4,6
val,C2,C5,6
val,C2,C6,0
val,C3,C1,6
val,C3,C2,27
val,C3,C3,143
val,C3,C4,52
val,C3,C5,2
val,C3,C6,9
val,C4,C1,2
val,C4,C2,10
val,C4,C3,117
val,C4,C4,70
val,C4,C5,14
val,C4,C6,24
val,C5,C1,59
val,C5,C2,19
val,C5,C3,6
val,C5,C4,30
val,C5,C5,99
val,C5,C6,28
val,C6,C1,28
val,C6,C2,7
val,C6,C3,4
val,C6,C4,12
val,C6,C5,42
val,C6,C6,146
test,C1,C1,164
test,C1,C2,14
test,C1,C3,0
test,C1,C4,3
test,C1,C5,31
test,C1,C6,25
test,C2,C1,8
test,C2,C2,174
test,C2,C3,35
test,C2,C4,9
test,C2,C5,7
test,C2,C6,6
test,C3,C1,5
test,C3,C2,49
test,C3,C3,157
test,C3,C4,24
test,C3,C5,1
test,C3,C6,2
test,C4,C1,3
test,C4,C2,24
test,C4,C3,95
test,C4,C4,95
test,C4,C5,9
test,C4,C6,9
test,C5,C1,70
test,C5,C2,4
test,C5,C3,3
test,C5,C4,33
test,C5,C5,97
test,C5,C6,31
test,C6,C1,55
test,C6,C2,20
test,C6,C3,5
test,C6,C4,29
test,C6,C5,55
test,C6,C6,76
