split,true_class,pred_class,count
train,C1,C1,727
train,C1,C2,35
train,C1,C3,13
train,C1,C4,22
train,C1,C5,228
train,C1,C6,51
train,C2,C1,19
train,C2,C2,802
train,C2,C3,183
train,C2,C4,42
train,C2,C5,16
train,C2,C6,14
train,C3,C1,0
train,C3,C2,128
train,C3,C3,754
train,C3,C4,153
train,C3,C5,8
train,C3,C6,9
train,C4,C1,1
train,C4,C2,36
train,C4,C3,370
train,C4,C4,608
train,C4,C5,43
train,C4,C6,10
train,C5,C1,120
train,C5,C2,27
train,C5,C3,18
train,C5,C4,66
train,C5,C5,731
train,C5,C6,108
train,C6,C1,94
train,C6,C2,25
train,C6,C3,14
train,C6,C4,44
train,C6,C5,249
train,C6,C6,644
val,C1,C1,114
val,C1,C2,20
val,C1,C3,9
val,C1,C4,17
val,C1,C5,69
val,C1,C6,11
val,C2,C1,2
val,C2,C2,167
val,C2,C3,48
val,C2,C4,11
val,C2,C5,3
val,C2,C6,9
val,C3,C1,1
val,C3,C2,33
val,C3,C3,138
val,C3,C4,45
val,C3,C5,10
val,C3,C6,12
val,C4,C1,1
val,C4,C2,12
val,C4,C3,93
val,C4,C4,85
val,C4,C5,21
val,C4,C6,25
val,C5,C1,31
val,C5,C2,22
val,C5,C3,9
val,C5,C4,30
val,C5,C5,119
val,C5,C6,30
val,C6,C1,27
val,C6,C2,5
val,C6,C3,9
val,C6,C4,9
val,C6,C5,49
val,C6,C6,140
test,C1,C1,129
test,C1,C2,24
test,C1,C3,3
test,C1,C4,4
test,C1,C5,49
test,C1,C6,28
test,C2,C1,9
test,C2,C2,175
test,C2,C3,46
test,C2,C4,5
test,C2,C5,1
test,C2,C6,3
test,C3,C1,0
test,C3,C2,42
test,C3,C3,142
test,C3,C4,49
test,C3,C5,2
test,C3,C6,3
test,C4,C1,0
test,C4,C2,21
test,C4,C3,85
test,C4,C4,115
test,C4,C5,7
test,C4,C6,7
test,C5,C1,35
test,C5,C2,28
test,C5,C3,3
test,C5,C4,35
test,C5,C5,101
test,C5,C6,36
test,C6,C1,23
test,C6,C2,37
test,C6,C3,3
test,C6,C4,22
test,C6,C5,74
test,C6,C6,81
