split,true_class,pred_class,count
train,C1,C1,994
train,C1,C2,10
train,C1,C3,0
train,C1,C4,0
train,C1,C5,50
train,C1,C6,22
train,C2,C1,6
train,C2,C2,1025
train,C2,C3,33
train,C2,C4,6
train,C2,C5,3
train,C2,C6,3
train,C3,C1,0
train,C3,C2,42
train,C3,C3,859
train,C3,C4,144
train,C3,C5,2
train,C3,C6,5
train,C4,C1,1
train,C4,C2,22
train,C4,C3,121
train,C4,C4,908
train,C4,C5,12
train,C4,C6,4
train,C5,C1,120
train,C5,C2,5
train,C5,C3,0
train,C5,C4,4
train,C5,C5,903
train,C5,C6,38
train,C6,C1,25
train,C6,C2,4
train,C6,C3,1
train,C6,C4,3
train,C6,C5,52
train,C6,C6,985
val,C1,C1,141
val,C1,C2,16
val,C1,C3,0
val,C1,C4,9
val,C1,C5,52
val,C1,C6,22
val,C2,C1,6
val,C2,C2,183
val,C2,C3,29
val,C2,C4,9
val,C2,C5,12
val,C2,C6,1
val,C3,C1,4
val,C3,C2,38
val,C3,C3,108
val,C3,C4,78
val,C3,C5,7
val,C3,C6,4
val,C4,C1,3
val,C4,C2,7
val,C4,C3,57
val,C4,C4,133
val,C4,C5,14
val,C4,C6,23
val,C5,C1,69
val,C5,C2,17
val,C5,C3,2
val,C5,C4,25
val,C5,C5,89
val,C5,C6,39
val,C6,C1,39
val,C6,C2,7
val,C6,C3,5
val,C6,C4,22
val,C6,C5,34
val,C6,C6,132
test,C1,C1,133
test,C1,C2,6
test,C1,C3,10
test,C1,C4,0
test,C1,C5,41
test,C1,C6,47
test,C2,C1,15
test,C2,C2,154
test,C2,C3,46
test,C2,C4,10
test,C2,C5,12
test,C2,C6,2
test,C3,C1,2
test,C3,C2,50
test,C3,C3,91
test,C3,C4,85
test,C3,C5,8
test,C3,C6,2
test,C4,C1,4
test,C4,C2,29
test,C4,C3,49
test,C4,C4,125
test,C4,C5,24
test,C4,C6,4
test,C5,C1,55
test,C5,C2,11
test,C5,C3,4
test,C5,C4,29
test,C5,C5,106
test,C5,C6,33
test,C6,C1,25
test,C6,C2,20
test,C6,C3,7
test,C6,C4,10
test,C6,C5,73
test,C6,C6,105
