epoch,train_loss,val_loss,val_accuracy,val_macro_f1,lr,time_seconds,is_best
1,1.9944534733082753,1.8228806127744797,0.3746518105849582,0.31937493921638993,0.001,0.6442089080810547,True
2,1.8711116852346839,1.7529695731351636,0.37186629526462395,0.3362908225947301,0.001,0.5422022342681885,True
3,1.7672938503329634,1.6422548802118115,0.4101671309192201,0.3942099187897125,0.001,0.5577912330627441,True
4,1.6509596888749807,1.6737828693017986,0.3969359331476323,0.3601455436022487,0.001,0.5581245422363281,False
5,1.6057187182711425,1.533481758617093,0.42827298050139273,0.391572074170496,0.001,0.5865213871002197,False
6,1.5434361767635,1.50622775644313,0.45473537604456826,0.4367357738048889,0.001,0.5929355621337891,True
7,1.4817545352246861,1.5525977095189534,0.41852367688022285,0.3907008460079724,0.001,0.5697586536407471,False
8,1.4430624854170524,1.4635691226026806,0.4672701949860724,0.4381835015979394,0.001,0.6167471408843994,True
9,1.3680723750881307,1.3592937832755299,0.5013927576601671,0.4860916705655975,0.001,0.6713266372680664,True
10,1.3178038013330937,1.4629884219435265,0.4937325905292479,0.48217490052695267,0.001,0.6087090969085693,False
11,1.26551475527877,1.4316804948623465,0.4972144846796657,0.48065323668853727,0.001,0.6399414539337158,False
12,1.244489012103637,1.4851611118379742,0.4909470752089137,0.4755581516010647,0.001,0.6525008678436279,False
13,1.180205294064113,1.3926991175310193,0.504874651810585,0.49425664502183153,0.001,0.6104276180267334,True
14,1.133186015425365,1.3997937321953455,0.5069637883008357,0.4941486454734365,0.001,0.6571438312530518,False
15,1.1091685054529776,1.3623762162490476,0.5069637883008357,0.4929728226536134,0.001,0.6019256114959717,False
16,1.0812591182687323,1.4528703799154765,0.5083565459610028,0.507326107341705,0.001,0.7548274993896484,True
17,1.045234705088515,1.2934196679165437,0.5229805013927576,0.5090742219627482,0.001,0.84810471534729,True
18,1.0187523469877333,1.34714659596054,0.5278551532033426,0.5252444606861214,0.001,0.7731091976165771,True
19,0.9932453849132702,1.5463689502567302,0.48885793871866295,0.47339335703770197,0.001,0.6550941467285156,False
20,0.9440143696977731,1.4045346491350106,0.5013927576601671,0.4924993532982756,0.001,0.6463360786437988,False
