epoch,train_loss,val_strict_i2t_R@1,val_strict_t2i_R@1,val_strict_i2t_R@5,val_strict_t2i_R@5,val_template_i2t_R@1,val_template_t2i_R@1,val_template_i2t_R@5,val_template_t2i_R@5,is_best,time_seconds
1,4.706932442624361,0.0,0.015363128491620111,0.04189944134078212,0.0670391061452514,0.4301675977653631,0.7276536312849162,0.45670391061452514,0.8505586592178771,True,0.35633277893066406
2,3.7639704329452752,0.0111731843575419,0.018156424581005588,0.07262569832402235,0.08659217877094973,0.5097765363128491,0.8072625698324022,0.5488826815642458,0.9553072625698324,True,0.10477256774902344
3,3.552856694938286,0.009776536312849162,0.02094972067039106,0.08379888268156424,0.0935754189944134,0.526536312849162,0.9036312849162011,0.6145251396648045,0.9287709497206704,True,0.09980630874633789
4,3.437695843462069,0.01675977653631285,0.025139664804469275,0.0893854748603352,0.09636871508379888,0.5321229050279329,0.9594972067039106,0.6201117318435754,0.9678770949720671,True,0.09989380836486816
5,3.375746010121744,0.018156424581005588,0.0223463687150838,0.09497206703910614,0.09636871508379888,0.5572625698324022,0.9385474860335196,0.664804469273743,0.952513966480447,True,0.14668917655944824
6,3.327776981072518,0.023743016759776536,0.023743016759776536,0.10754189944134078,0.10893854748603352,0.5405027932960894,0.9399441340782123,0.6620111731843575,0.9594972067039106,False,0.0825355052947998
7,3.2765676672852275,0.023743016759776536,0.023743016759776536,0.0935754189944134,0.11312849162011174,0.6033519553072626,0.9399441340782123,0.6717877094972067,0.9594972067039106,True,0.08725738525390625
8,3.250157013990178,0.02094972067039106,0.023743016759776536,0.10195530726256984,0.10893854748603352,0.5935754189944135,0.9399441340782123,0.6731843575418994,0.9539106145251397,False,0.09614729881286621
9,3.253138140446082,0.019553072625698324,0.0223463687150838,0.09636871508379888,0.10474860335195531,0.638268156424581,0.86731843575419,0.6997206703910615,0.9636871508379888,True,0.08298850059509277
10,3.201206661462194,0.015363128491620111,0.023743016759776536,0.10893854748603352,0.10754189944134078,0.5824022346368715,0.9106145251396648,0.6717877094972067,0.9608938547486033,False,0.08309173583984375
11,3.181074753189842,0.025139664804469275,0.0223463687150838,0.08100558659217877,0.10614525139664804,0.5893854748603352,0.9385474860335196,0.6899441340782123,0.9608938547486033,False,0.08491635322570801
12,3.1666823945461515,0.018156424581005588,0.023743016759776536,0.10614525139664804,0.10474860335195531,0.6312849162011173,0.9399441340782123,0.702513966480447,0.9553072625698324,False,0.08286499977111816
13,3.13376792271932,0.02094972067039106,0.0223463687150838,0.10614525139664804,0.10614525139664804,0.6354748603351955,0.835195530726257,0.6983240223463687,0.9762569832402235,False,0.08383655548095703
14,3.126481732853407,0.02094972067039106,0.023743016759776536,0.11173184357541899,0.11033519553072625,0.6522346368715084,0.9203910614525139,0.7122905027932961,0.9748603351955307,True,0.09699225425720215
15,3.1055735362828534,0.0223463687150838,0.023743016759776536,0.11033519553072625,0.11312849162011174,0.6536312849162011,0.9399441340782123,0.7164804469273743,0.9692737430167597,True,0.08371543884277344
16,3.109378542224507,0.01675977653631285,0.023743016759776536,0.09078212290502793,0.11033519553072625,0.638268156424581,0.8701117318435754,0.6927374301675978,0.9594972067039106,False,0.08785104751586914
17,3.0887848433932317,0.0223463687150838,0.025139664804469275,0.1005586592178771,0.10754189944134078,0.6270949720670391,0.9511173184357542,0.7053072625698324,0.9762569832402235,False,0.08308267593383789
18,3.0848526838253223,0.012569832402234637,0.025139664804469275,0.10754189944134078,0.11312849162011174,0.6494413407821229,0.9078212290502793,0.7276536312849162,0.9692737430167597,False,0.08272457122802734
19,3.0661938507801114,0.018156424581005588,0.023743016759776536,0.10335195530726257,0.11033519553072625,0.6717877094972067,0.9134078212290503,0.7472067039106145,0.9762569832402235,True,0.09011483192443848
20,3.063404278847205,0.02094972067039106,0.023743016759776536,0.10335195530726257,0.10474860335195531,0.6522346368715084,0.8687150837988827,0.7108938547486033,0.9762569832402235,False,0.09559774398803711
21,3.058243864305771,0.023743016759776536,0.02653631284916201,0.09776536312849161,0.10893854748603352,0.6801675977653632,0.946927374301676,0.7276536312849162,0.9594972067039106,True,0.08362793922424316
22,3.041012652691453,0.027932960893854747,0.025139664804469275,0.09217877094972067,0.11033519553072625,0.6927374301675978,0.8324022346368715,0.744413407821229,0.9762569832402235,True,0.08402037620544434
23,3.038449275460197,0.019553072625698324,0.02094972067039106,0.09078212290502793,0.10754189944134078,0.6955307262569832,0.8128491620111732,0.7374301675977654,0.9832402234636871,True,0.08310532569885254
24,3.0364243656657384,0.015363128491620111,0.02653631284916201,0.08659217877094973,0.11731843575418995,0.6494413407821229,0.9245810055865922,0.7206703910614525,0.9762569832402235,False,0.09908223152160645
25,3.030108643270219,0.015363128491620111,0.027932960893854747,0.0824022346368715,0.11312849162011174,0.7108938547486033,0.9483240223463687,0.7583798882681564,0.9860335195530726,True,0.10125184059143066
26,3.017149126453013,0.013966480446927373,0.02094972067039106,0.09078212290502793,0.10893854748603352,0.664804469273743,0.7486033519553073,0.7248603351955307,0.9622905027932961,False,0.10090327262878418
