split_seed,learn_seed,val_macro_f1,test_acc,test_macro_f1,test_ece_before,test_ece_after,test_logloss_after,fitted_T
42,42,0.5169202846131583,0.5213735108619482,0.5134446890680403,0.1414924660970384,0.0361690165262249,1.116774074446031,1.9699413776397705
42,43,0.5070109767139287,0.5080588647512263,0.5044980959548176,0.1269467614836516,0.0435589452097277,1.1178787021983565,2.107374429702759
42,44,0.5521387346108652,0.5283812193412754,0.5205658126250582,0.1573748135992757,0.045940247965427,1.1093126084708689,2.0157711505889893
7,42,0.5083720908334199,0.4722026741731175,0.4693261807639879,0.3790719967589757,0.0526633494593239,1.223727587058282,4.554481983184815
7,43,0.5066492137485975,0.4658691062631949,0.4660867320844008,0.2597041303615684,0.0830295309581696,1.2247257455641565,2.310817241668701
7,44,0.5105097270110712,0.5003518648838846,0.5001512542284482,0.2586364911778723,0.0417043233551163,1.194227623741306,2.991267204284668
123,42,0.5162210167343191,0.5339873861247372,0.5322810743831395,0.212188769781932,0.0714986700859618,1.1100418087613284,2.420171976089477
123,43,0.5246489547567029,0.5094604064470918,0.5070828075365906,0.2250505309674651,0.0318980076113361,1.1252186562494455,2.6468265056610107
123,44,0.5143312195870272,0.4856341976173791,0.4773379088747331,0.0798515574491015,0.0463788713620272,1.219745985640438,1.3783739805221558
2024,42,0.51535883072227,0.5270175438596492,0.5190006297402252,0.1071785622312311,0.0379750594339872,1.0996680371951175,1.8400955200195312
2024,43,0.55100297838808,0.5228070175438596,0.5148455259269541,0.1466549173363467,0.0360665555376755,1.1020749434499697,2.2143616676330566
2024,44,0.5377279146304321,0.5073684210526316,0.4929921114301008,0.0705563056050685,0.0183806950481314,1.1207316498406663,1.3384740352630615
7777,42,0.5159865950214552,0.5066573230553609,0.4980017335587739,0.311473702415354,0.04583539777731,1.22195535909441,3.4794371128082275
7777,43,0.4997521711612849,0.4989488437281009,0.4875242841070408,0.3274306473547375,0.0428975711419353,1.195563293916804,3.8318798542022714
7777,44,0.5052276277916442,0.4779257182901191,0.4703804657376225,0.2701049480474989,0.0756110449249124,1.2554035456515422,2.473863124847412
