split,true_class,pred_class,count
train,C1,C1,869
train,C1,C2,13
train,C1,C3,2
train,C1,C4,2
train,C1,C5,100
train,C1,C6,88
train,C2,C1,3
train,C2,C2,996
train,C2,C3,32
train,C2,C4,32
train,C2,C5,4
train,C2,C6,10
train,C3,C1,1
train,C3,C2,122
train,C3,C3,703
train,C3,C4,220
train,C3,C5,2
train,C3,C6,5
train,C4,C1,2
train,C4,C2,24
train,C4,C3,103
train,C4,C4,900
train,C4,C5,17
train,C4,C6,26
train,C5,C1,139
train,C5,C2,16
train,C5,C3,3
train,C5,C4,24
train,C5,C5,696
train,C5,C6,195
train,C6,C1,49
train,C6,C2,6
train,C6,C3,0
train,C6,C4,12
train,C6,C5,84
train,C6,C6,925
val,C1,C1,136
val,C1,C2,14
val,C1,C3,9
val,C1,C4,7
val,C1,C5,36
val,C1,C6,38
val,C2,C1,15
val,C2,C2,177
val,C2,C3,11
val,C2,C4,9
val,C2,C5,14
val,C2,C6,14
val,C3,C1,2
val,C3,C2,18
val,C3,C3,82
val,C3,C4,101
val,C3,C5,20
val,C3,C6,16
val,C4,C1,4
val,C4,C2,12
val,C4,C3,42
val,C4,C4,118
val,C4,C5,32
val,C4,C6,21
val,C5,C1,34
val,C5,C2,8
val,C5,C3,1
val,C5,C4,19
val,C5,C5,118
val,C5,C6,60
val,C6,C1,27
val,C6,C2,4
val,C6,C3,3
val,C6,C4,8
val,C6,C5,36
val,C6,C6,159
test,C1,C1,162
test,C1,C2,4
test,C1,C3,1
test,C1,C4,3
test,C1,C5,33
test,C1,C6,36
test,C2,C1,8
test,C2,C2,168
test,C2,C3,36
test,C2,C4,16
test,C2,C5,3
test,C2,C6,7
test,C3,C1,4
test,C3,C2,46
test,C3,C3,84
test,C3,C4,91
test,C3,C5,2
test,C3,C6,10
test,C4,C1,3
test,C4,C2,28
test,C4,C3,62
test,C4,C4,124
test,C4,C5,12
test,C4,C6,10
test,C5,C1,63
test,C5,C2,12
test,C5,C3,8
test,C5,C4,20
test,C5,C5,79
test,C5,C6,54
test,C6,C1,44
test,C6,C2,8
test,C6,C3,10
test,C6,C4,6
test,C6,C5,40
test,C6,C6,128
