epoch,train_loss,val_loss,val_accuracy,val_macro_f1,lr,time_seconds,is_best
1,1.7124461131893707,1.590824636241846,0.31157894736842107,0.2859461051352535,0.001,0.5641112327575684,True
2,1.6020257224554217,1.563317732392696,0.3319298245614035,0.31981882923997224,0.001,0.5122900009155273,True
3,1.5227588732604387,1.4756218648375126,0.40350877192982454,0.38808462136969335,0.001,0.4843261241912842,True
4,1.4552739275290345,1.4036681353000173,0.4070175438596491,0.39097168797402015,0.001,0.4835193157196045,True
5,1.386986497032967,1.3391828002427755,0.44491228070175437,0.43604911293193344,0.001,0.47798609733581543,True
6,1.3129285385265426,1.3202809962473419,0.47578947368421054,0.46304877443139364,0.001,0.4883718490600586,True
7,1.2233763261713406,1.2592080995911046,0.4666666666666667,0.45613786513027565,0.001,0.47528982162475586,False
8,1.162864841635589,1.2633800061543783,0.4687719298245614,0.45235380442765855,0.001,0.47865724563598633,False
9,1.107872420006689,1.260932136836805,0.45614035087719296,0.4476917402069669,0.001,0.4912993907928467,False
10,1.0559410747387066,1.2421583160601164,0.5242105263157895,0.5114139925556133,0.001,0.4751856327056885,True
11,1.0248811814571632,1.3228972228368123,0.4982456140350877,0.4946066534470959,0.001,0.48490476608276367,False
12,0.9905305571964279,1.3854631372920254,0.4884210526315789,0.46994849730248833,0.001,0.4985833168029785,False
13,0.9680783493416782,1.2675525793485474,0.5171929824561403,0.5093787279261613,0.001,0.500150203704834,False
14,0.9442803956191363,1.1905826926858802,0.5171929824561403,0.5090159410245803,0.001,0.4988100528717041,False
15,0.9246331989162163,1.3263425963175923,0.5164912280701754,0.5074412750658144,0.001,0.48044919967651367,False
16,0.8901301251311247,1.2479904967546462,0.5319298245614035,0.5221671509524578,0.001,0.49712419509887695,True
17,0.8778603717603572,1.3338772885632098,0.52,0.5130637240292879,0.001,0.49775266647338867,False
18,0.8233260770345012,1.208225227761687,0.5347368421052632,0.5270262769613352,0.001,0.4911360740661621,True
19,0.8283694917960853,1.3175150070483224,0.5375438596491228,0.5400424529739696,0.001,0.49292707443237305,True
20,0.7889434144098008,1.4122324835888127,0.5059649122807017,0.5001776847957417,0.001,0.49392175674438477,False
21,0.7678782897978905,1.419002614774202,0.496140350877193,0.49728742752658256,0.001,0.4931600093841553,False
22,0.7708297094389622,1.4488514122732898,0.4975438596491228,0.49459940023116394,0.001,0.5102443695068359,False
23,0.7356638404924118,1.259093488721471,0.5305263157894737,0.5273993519419483,0.001,0.5367035865783691,False
24,0.7117325317627725,1.3168321861405121,0.5487719298245614,0.5457500304002247,0.001,0.5072929859161377,True
25,0.704221643130603,1.4991260628846654,0.5221052631578947,0.5206212067863735,0.001,0.5176379680633545,False
26,0.6680821724160636,1.3982266200216193,0.5543859649122806,0.55100297838808,0.001,0.509279727935791,True
27,0.6526526801409889,1.4925183423778468,0.5284210526315789,0.5226212286490155,0.001,0.49808716773986816,False
28,0.6487253891725948,1.389761154860781,0.5150877192982456,0.5173073037549397,0.001,0.5006828308105469,False
29,0.634852432763994,1.4365326714463402,0.5221052631578947,0.5209709889799014,0.001,0.4867837429046631,False
30,0.5778125765629779,1.5932058922266752,0.5150877192982456,0.5079936018091668,0.001,0.48886990547180176,False
31,0.5730135472924793,1.4715099815057036,0.5417543859649123,0.5348526859560506,0.001,0.49554014205932617,False
32,0.5548353200849392,1.7036707806874785,0.5228070175438596,0.5185474948200808,0.001,0.48624730110168457,False
33,0.5581962623021018,1.6027804685370963,0.5087719298245614,0.5032675374514176,0.001,0.5025105476379395,False
34,0.5440402853813616,1.4496035211912373,0.5305263157894737,0.5290955933621833,0.001,0.49402880668640137,False
35,0.5156174557311062,1.716537170231081,0.527719298245614,0.5247707448331412,0.001,0.4980337619781494,False
36,0.5262853983496878,1.7475614064016887,0.5136842105263157,0.5131419564190753,0.001,0.49219417572021484,False
37,0.48463157398691437,1.6290903910778856,0.5228070175438596,0.5245118240820857,0.001,0.49008870124816895,False
38,0.4690682621781464,1.7928818220475264,0.5136842105263157,0.5124494966591845,0.001,0.49788403511047363,False
39,0.45701141307789994,1.740912307649851,0.5270175438596492,0.5218513126608194,0.001,0.5089478492736816,False
40,0.4663159772997236,1.6610257374560624,0.5017543859649123,0.4972332503258447,0.001,0.4966273307800293,False
41,0.4280415585903806,1.7364341807574557,0.527719298245614,0.5235006669281682,0.001,0.502544641494751,False
