branch,split,stage,metric,value
raw,test,after,predictive_entropy_p75,1.718086372156661
raw,test,after,n,1427.0
raw,—,—,fitted_temperature,2.452007125221835
raw,—,—,lbfgs_n_iters,8.0
raw,—,—,final_val_nll,1.5888470736918978
zscore,train,before,accuracy,0.9917342482844667
zscore,train,before,balanced_accuracy,0.9917431911402067
zscore,train,before,macro_f1,0.991739147326281
zscore,train,before,log_loss,0.36136233481861263
zscore,train,before,brier_multiclass,0.14120476068119014
zscore,train,before,ece_15bin,0.27353292815979396
zscore,train,before,top1_prob_mean,0.7182013201246727
zscore,train,before,top1_prob_p25,0.6117319200819082
zscore,train,before,top1_prob_p50,0.7367755268644928
zscore,train,before,top1_prob_p75,0.8414591037414538
zscore,train,before,top1_top2_margin_mean,0.5843062037606421
zscore,train,before,top1_top2_margin_p25,0.43013637721665576
zscore,train,before,top1_top2_margin_p50,0.6038484095191268
zscore,train,before,top1_top2_margin_p75,0.7584293609792754
zscore,train,before,predictive_entropy_mean,0.8783914170859098
zscore,train,before,predictive_entropy_p25,0.603022654069059
zscore,train,before,predictive_entropy_p50,0.879947873821809
zscore,train,before,predictive_entropy_p75,1.1584695007557744
zscore,train,before,n,6412.0
zscore,train,after,accuracy,0.9917342482844667
zscore,train,after,balanced_accuracy,0.9917431911402067
zscore,train,after,macro_f1,0.991739147326281
zscore,train,after,log_loss,0.9229542284922634
zscore,train,after,brier_multiclass,0.44480763443592963
zscore,train,after,ece_15bin,0.5814698305277328
zscore,train,after,top1_prob_mean,0.41026441775673395
zscore,train,after,top1_prob_p25,0.33501247230371534
zscore,train,after,top1_prob_p50,0.39620161055463665
zscore,train,after,top1_prob_p75,0.4698177450466246
zscore,train,after,top1_top2_margin_mean,0.21765056445946113
zscore,train,after,top1_top2_margin_p25,0.13138846302069412
zscore,train,after,top1_top2_margin_p50,0.19843985324603453
zscore,train,after,top1_top2_margin_p75,0.2828509942878263
zscore,train,after,predictive_entropy_mean,1.5408560666659115
