group,feature,method,posture,class_a,class_b,n_a,n_b,mean_a,mean_b,std_a,std_b,cohen_d,overlap_estimate
C1_C5_C6,motion_range_acc_z,participant_zscore_upper_bound,CA,C5,C6,514,512,0.931293,0.795921,0.701450,0.737619,0.188079,0.925078
C1_C5_C6,motion_range_acc_z,participant_zscore_upper_bound,HW,C1,C5,518,516,0.038473,0.026208,0.881739,1.029011,0.012800,0.994894
C1_C5_C6,motion_range_acc_z,participant_zscore_upper_bound,HW,C1,C6,518,519,0.038473,-0.308893,0.881739,0.993353,0.369851,0.853287
C1_C5_C6,motion_range_acc_z,participant_zscore_upper_bound,HW,C5,C6,516,519,0.026208,-0.308893,1.029011,0.993353,0.331344,0.868415
C1_C5_C6,depth_proxy,raw,all,C1,C5,1553,1549,4.794800,4.711128,4.337823,4.190193,0.019620,0.992173
C1_C5_C6,depth_proxy,raw,all,C1,C6,1553,1549,4.794800,4.927349,4.337823,4.055268,-0.031567,0.987407
C1_C5_C6,depth_proxy,raw,all,C5,C6,1549,1549,4.711128,4.927349,4.190193,4.055268,-0.052439,0.979082
C1_C5_C6,depth_proxy,raw,SA,C1,C5,516,519,7.899423,7.493333,1.160326,1.092163,0.360405,0.856994
C1_C5_C6,depth_proxy,raw,SA,C1,C6,516,518,7.899423,7.749925,1.160326,1.079381,0.133411,0.946816
C1_C5_C6,depth_proxy,raw,SA,C5,C6,519,518,7.493333,7.749925,1.092163,1.079381,-0.236318,0.905942
C1_C5_C6,depth_proxy,raw,CA,C1,C5,519,514,7.378437,7.446154,1.424294,1.431208,-0.047429,0.981080
C1_C5_C6,depth_proxy,raw,CA,C1,C6,519,512,7.378437,7.424288,1.424294,1.274475,-0.033927,0.986466
C1_C5_C6,depth_proxy,raw,CA,C5,C6,514,512,7.446154,7.424288,1.431208,1.274475,0.016136,0.993563
C1_C5_C6,depth_proxy,raw,HW,C1,C5,518,516,-0.886460,-0.811678,2.115150,1.930950,-0.036927,0.985269
C1_C5_C6,depth_proxy,raw,HW,C1,C6,518,519,-0.886460,-0.353050,2.115150,2.081367,-0.254208,0.898858
C1_C5_C6,depth_proxy,raw,HW,C5,C6,516,519,-0.811678,-0.353050,1.930950,2.081367,-0.228450,0.909059
C1_C5_C6,depth_proxy,posture_train_zscore,all,C1,C5,1553,1549,-0.052054,-0.150600,1.080402,1.035549,0.093124,0.962862
C1_C5_C6,depth_proxy,posture_train_zscore,all,C1,C6,1553,1549,-0.052054,-0.004848,1.080402,1.003890,-0.045266,0.981943
C1_C5_C6,depth_proxy,posture_train_zscore,all,C5,C6,1549,1549,-0.150600,-0.004848,1.035549,1.003890,-0.142916,0.943033
C1_C5_C6,depth_proxy,posture_train_zscore,SA,C1,C5,516,519,0.095787,-0.288231,1.097260,1.032802,0.360405,0.856994
C1_C5_C6,depth_proxy,posture_train_zscore,SA,C1,C6,516,518,0.095787,-0.045585,1.097260,1.020715,0.133411,0.946816
C1_C5_C6,depth_proxy,posture_train_zscore,SA,C5,C6,519,518,-0.288231,-0.045585,1.032802,1.020715,-0.236318,0.905942
C1_C5_C6,depth_proxy,posture_train_zscore,CA,C1,C5,519,514,-0.093614,-0.038933,1.150101,1.155685,-0.047429,0.981080
C1_C5_C6,depth_proxy,posture_train_zscore,CA,C1,C6,519,512,-0.093614,-0.056590,1.150101,1.029124,-0.033927,0.986466
C1_C5_C6,depth_proxy,posture_train_zscore,CA,C5,C6,514,512,-0.038933,-0.056590,1.155685,1.029124,0.016136,0.993563
C1_C5_C6,depth_proxy,posture_train_zscore,HW,C1,C5,518,516,-0.157685,-0.123402,0.969677,0.885232,-0.036927,0.985269
C1_C5_C6,depth_proxy,posture_train_zscore,HW,C1,C6,518,519,-0.157685,0.086853,0.969677,0.954190,-0.254208,0.898858
C1_C5_C6,depth_proxy,posture_train_zscore,HW,C5,C6,516,519,-0.123402,0.086853,0.885232,0.954190,-0.228450,0.909059
C1_C5_C6,depth_proxy,posture_train_robust,all,C1,C5,1553,1549,-0.065473,-0.185853,1.225865,1.183930,0.099894,0.960165
C1_C5_C6,depth_proxy,posture_train_robust,all,C1,C6,1553,1549,-0.065473,-0.023322,1.225865,1.136325,-0.035663,0.985773
C1_C5_C6,depth_proxy,posture_train_robust,all,C5,C6,1549,1549,-0.185853,-0.023322,1.183930,1.136325,-0.140068,0.944167
C1_C5_C6,depth_proxy,posture_train_robust,SA,C1,C5,516,519,0.066705,-0.391559,1.309402,1.232482,0.360405,0.856994
C1_C5_C6,depth_proxy,posture_train_robust,SA,C1,C6,516,518,0.066705,-0.102001,1.309402,1.218059,0.133411,0.946816
C1_C5_C6,depth_proxy,posture_train_robust,SA,C5,C6,519,518,-0.391559,-0.102001,1.232482,1.218059,-0.236318,0.905942
C1_C5_C6,depth_proxy,posture_train_robust,CA,C1,C5,519,514,-0.075592,-0.012398,1.329166,1.335619,-0.047429,0.981080
C1_C5_C6,depth_proxy,posture_train_robust,CA,C1,C6,519,512,-0.075592,-0.032803,1.329166,1.189353,-0.033927,0.986466
C1_C5_C6,depth_proxy,posture_train_robust,CA,C5,C6,514,512,-0.012398,-0.032803,1.335619,1.189353,0.016136,0.993563
C1_C5_C6,depth_proxy,posture_train_robust,HW,C1,C5,518,516,-0.187003,-0.151735,0.997523,0.910652,-0.036927,0.985269
C1_C5_C6,depth_proxy,posture_train_robust,HW,C1,C6,518,519,-0.187003,0.064558,0.997523,0.981590,-0.254208,0.898858
C1_C5_C6,depth_proxy,posture_train_robust,HW,C5,C6,516,519,-0.151735,0.064558,0.910652,0.981590,-0.228450,0.909059
C1_C5_C6,depth_proxy,participant_zscore_upper_bound,all,C1,C5,1553,1549,-0.067870,-0.091640,1.063353,1.033013,0.022675,0.990954
C1_C5_C6,depth_proxy,participant_zscore_upper_bound,all,C1,C6,1553,1549,-0.067870,-0.032352,1.063353,0.989368,-0.034584,0.986204
C1_C5_C6,depth_proxy,participant_zscore_upper_bound,all,C5,C6,1549,1549,-0.091640,-0.032352,1.033013,0.989368,-0.058618,0.976618
C1_C5_C6,depth_proxy,participant_zscore_upper_bound,SA,C1,C5,516,519,0.723447,0.613566,0.261205,0.240957,0.437276,0.826932
C1_C5_C6,depth_proxy,participant_zscore_upper_bound,SA,C1,C6,516,518,0.723447,0.682782,0.261205,0.262492,0.155301,0.938106
C1_C5_C6,depth_proxy,participant_zscore_upper_bound,SA,C5,C6,519,518,0.613566,0.682782,0.240957,0.262492,-0.274714,0.890749
C1_C5_C6,depth_proxy,participant_zscore_upper_bound,CA,C1,C5,519,514,0.580440,0.600650,0.324565,0.347303,-0.060128,0.976016
C1_C5_C6,depth_proxy,participant_zscore_upper_bound,CA,C1,C6,519,512,0.580440,0.593677,0.324565,0.291548,-0.042909,0.982883
C1_C5_C6,depth_proxy,participant_zscore_upper_bound,CA,C5,C6,514,512,0.600650,0.593677,0.347303,0.291548,0.021747,0.991324
C1_C5_C6,depth_proxy,participant_zscore_upper_bound,HW,C1,C5,518,516,-1.505694,-1.490552,0.322870,0.300489,-0.048549,0.980634
C1_C5_C6,depth_proxy,participant_zscore_upper_bound,HW,C1,C6,518,519,-1.505694,-1.363693,0.322870,0.315138,-0.445106,0.823884
C1_C5_C6,depth_proxy,participant_zscore_upper_bound,HW,C5,C6,516,519,-1.490552,-1.363693,0.300489,0.315138,-0.412015,0.836785
C1_C5_C6,bottom_recovery_slope_acc_z,raw,all,C1,C5,1553,1549,0.110358,0.115380,0.135581,0.142420,-0.036119,0.985591
C1_C5_C6,bottom_recovery_slope_acc_z,raw,all,C1,C6,1553,1549,0.110358,0.117987,0.135581,0.141248,-0.055105,0.978019
C1_C5_C6,bottom_recovery_slope_acc_z,raw,all,C5,C6,1549,1549,0.115380,0.117987,0.142420,0.141248,-0.018380,0.992668
C1_C5_C6,bottom_recovery_slope_acc_z,raw,SA,C1,C5,516,519,0.132365,0.160176,0.144584,0.148778,-0.189581,0.924481
C1_C5_C6,bottom_recovery_slope_acc_z,raw,SA,C1,C6,516,518,0.132365,0.148726,0.144584,0.151413,-0.110518,0.955932
