split,true_class,pred_class,count
train,C1,C1,1009
train,C1,C2,13
train,C1,C3,3
train,C1,C4,0
train,C1,C5,39
train,C1,C6,12
train,C2,C1,1
train,C2,C2,1053
train,C2,C3,22
train,C2,C4,1
train,C2,C5,1
train,C2,C6,0
train,C3,C1,0
train,C3,C2,38
train,C3,C3,986
train,C3,C4,27
train,C3,C5,1
train,C3,C6,0
train,C4,C1,0
train,C4,C2,6
train,C4,C3,98
train,C4,C4,966
train,C4,C5,1
train,C4,C6,2
train,C5,C1,18
train,C5,C2,5
train,C5,C3,2
train,C5,C4,18
train,C5,C5,976
train,C5,C6,54
train,C6,C1,11
train,C6,C2,8
train,C6,C3,2
train,C6,C4,4
train,C6,C5,4
train,C6,C6,1044
val,C1,C1,99
val,C1,C2,19
val,C1,C3,3
val,C1,C4,10
val,C1,C5,52
val,C1,C6,56
val,C2,C1,3
val,C2,C2,194
val,C2,C3,21
val,C2,C4,8
val,C2,C5,5
val,C2,C6,8
val,C3,C1,0
val,C3,C2,59
val,C3,C3,112
val,C3,C4,62
val,C3,C5,2
val,C3,C6,4
val,C4,C1,6
val,C4,C2,18
val,C4,C3,69
val,C4,C4,111
val,C4,C5,16
val,C4,C6,7
val,C5,C1,36
val,C5,C2,28
val,C5,C3,9
val,C5,C4,26
val,C5,C5,79
val,C5,C6,61
val,C6,C1,14
val,C6,C2,9
val,C6,C3,7
val,C6,C4,18
val,C6,C5,39
val,C6,C6,153
test,C1,C1,117
test,C1,C2,41
test,C1,C3,6
test,C1,C4,6
test,C1,C5,40
test,C1,C6,28
test,C2,C1,10
test,C2,C2,175
test,C2,C3,32
test,C2,C4,16
test,C2,C5,2
test,C2,C6,3
test,C3,C1,3
test,C3,C2,52
test,C3,C3,138
test,C3,C4,40
test,C3,C5,2
test,C3,C6,3
test,C4,C1,0
test,C4,C2,28
test,C4,C3,75
test,C4,C4,105
test,C4,C5,15
test,C4,C6,17
test,C5,C1,65
test,C5,C2,18
test,C5,C3,9
test,C5,C4,16
test,C5,C5,70
test,C5,C6,59
test,C6,C1,39
test,C6,C2,15
test,C6,C3,10
test,C6,C4,26
test,C6,C5,28
test,C6,C6,118
