split,true_class,pred_class,count
train,C1,C1,951
train,C1,C2,1
train,C1,C3,0
train,C1,C4,3
train,C1,C5,99
train,C1,C6,22
train,C2,C1,19
train,C2,C2,921
train,C2,C3,70
train,C2,C4,50
train,C2,C5,16
train,C2,C6,0
train,C3,C1,2
train,C3,C2,86
train,C3,C3,807
train,C3,C4,147
train,C3,C5,7
train,C3,C6,3
train,C4,C1,1
train,C4,C2,25
train,C4,C3,207
train,C4,C4,798
train,C4,C5,31
train,C4,C6,6
train,C5,C1,134
train,C5,C2,10
train,C5,C3,2
train,C5,C4,18
train,C5,C5,849
train,C5,C6,57
train,C6,C1,99
train,C6,C2,10
train,C6,C3,0
train,C6,C4,6
train,C6,C5,111
train,C6,C6,844
val,C1,C1,144
val,C1,C2,5
val,C1,C3,1
val,C1,C4,11
val,C1,C5,68
val,C1,C6,11
val,C2,C1,10
val,C2,C2,175
val,C2,C3,26
val,C2,C4,21
val,C2,C5,7
val,C2,C6,1
val,C3,C1,8
val,C3,C2,45
val,C3,C3,121
val,C3,C4,50
val,C3,C5,10
val,C3,C6,5
val,C4,C1,0
val,C4,C2,19
val,C4,C3,73
val,C4,C4,103
val,C4,C5,23
val,C4,C6,19
val,C5,C1,63
val,C5,C2,10
val,C5,C3,10
val,C5,C4,32
val,C5,C5,93
val,C5,C6,33
val,C6,C1,35
val,C6,C2,11
val,C6,C3,5
val,C6,C4,22
val,C6,C5,54
val,C6,C6,112
test,C1,C1,150
test,C1,C2,10
test,C1,C3,1
test,C1,C4,0
test,C1,C5,55
test,C1,C6,21
test,C2,C1,22
test,C2,C2,166
test,C2,C3,38
test,C2,C4,6
test,C2,C5,7
test,C2,C6,0
test,C3,C1,5
test,C3,C2,65
test,C3,C3,106
test,C3,C4,55
test,C3,C5,4
test,C3,C6,3
test,C4,C1,7
test,C4,C2,31
test,C4,C3,65
test,C4,C4,115
test,C4,C5,12
test,C4,C6,5
test,C5,C1,62
test,C5,C2,2
test,C5,C3,1
test,C5,C4,26
test,C5,C5,95
test,C5,C6,52
test,C6,C1,54
test,C6,C2,9
test,C6,C3,2
test,C6,C4,11
test,C6,C5,80
test,C6,C6,84
