epoch,train_loss,val_strict_i2t_R@1,val_strict_t2i_R@1,val_strict_i2t_R@5,val_strict_t2i_R@5,val_template_i2t_R@1,val_template_t2i_R@1,val_template_i2t_R@5,val_template_t2i_R@5,is_best,time_seconds
1,4.745912256199199,0.004874651810584958,0.005571030640668524,0.02924791086350975,0.031337047353760444,0.5062674094707521,0.5995821727019499,0.5383008356545961,0.9059888579387186,True,0.6719768047332764
2,3.7876136346452323,0.008356545961002786,0.009749303621169917,0.04247910863509749,0.04387186629526462,0.46309192200557103,0.8481894150417827,0.5341225626740947,0.9623955431754875,False,0.14947962760925293
3,3.583470552546191,0.009052924791086351,0.006963788300835654,0.04178272980501393,0.0403899721448468,0.4554317548746518,0.6727019498607242,0.5543175487465181,0.9129526462395543,False,0.14419102668762207
4,3.534815786038052,0.006963788300835654,0.009749303621169917,0.04108635097493036,0.04387186629526462,0.5194986072423399,0.9052924791086351,0.5731197771587744,0.9373259052924791,True,0.1441037654876709
5,3.4912206152046164,0.006267409470752089,0.009749303621169917,0.034818941504178275,0.04596100278551532,0.47980501392757663,0.8266016713091922,0.5759052924791086,0.9526462395543176,False,0.18899297714233398
6,3.45514590295493,0.006963788300835654,0.010445682451253482,0.04874651810584958,0.04944289693593315,0.5222841225626741,0.8732590529247911,0.5842618384401114,0.9672701949860725,True,0.14732575416564941
7,3.4429676607483564,0.004874651810584958,0.009052924791086351,0.04665738161559889,0.04456824512534819,0.4756267409470752,0.8649025069637883,0.5612813370473537,0.9498607242339833,False,0.14249348640441895
8,3.406702096322441,0.00766016713091922,0.009052924791086351,0.04805013927576602,0.04317548746518106,0.49651810584958217,0.7938718662952646,0.5717270194986073,0.9324512534818942,False,0.14595484733581543
9,3.374424671427726,0.00766016713091922,0.009749303621169917,0.04387186629526462,0.04526462395543175,0.42409470752089135,0.9213091922005571,0.5278551532033426,0.924791086350975,False,0.14694690704345703
10,3.376765746067854,0.005571030640668524,0.011142061281337047,0.04456824512534819,0.04944289693593315,0.5006963788300836,0.9296657381615598,0.58008356545961,0.9401114206128134,False,0.14508748054504395
11,3.338023935268614,0.00766016713091922,0.010445682451253482,0.03899721448467967,0.04874651810584958,0.43941504178272983,0.9289693593314763,0.5424791086350975,0.9366295264623955,False,0.15473604202270508
12,3.3426224620581713,0.00766016713091922,0.010445682451253482,0.04178272980501393,0.04526462395543175,0.49512534818941506,0.8154596100278552,0.5863509749303621,0.9324512534818942,False,0.15689563751220703
13,3.3246431692793306,0.00766016713091922,0.009749303621169917,0.0403899721448468,0.04735376044568245,0.48885793871866295,0.8119777158774373,0.5738161559888579,0.9394150417827298,False,0.1535327434539795
14,3.299516297546834,0.009749303621169917,0.009749303621169917,0.0383008356545961,0.05013927576601671,0.5466573816155988,0.7764623955431755,0.6030640668523677,0.9415041782729805,True,0.1548011302947998
15,3.3214078586100046,0.009052924791086351,0.010445682451253482,0.04874651810584958,0.04944289693593315,0.5006963788300836,0.9289693593314763,0.5738161559888579,0.9394150417827298,False,0.15418338775634766
16,3.281079211423937,0.006267409470752089,0.009749303621169917,0.05153203342618384,0.05083565459610028,0.5403899721448467,0.8119777158774373,0.5988857938718662,0.958217270194986,False,0.1549358367919922
17,3.27589907604534,0.010445682451253482,0.011142061281337047,0.04735376044568245,0.05013927576601671,0.536908077994429,0.935933147632312,0.5933147632311978,0.9380222841225627,False,0.15399670600891113
18,3.2600175022558355,0.006963788300835654,0.010445682451253482,0.05013927576601671,0.05153203342618384,0.4714484679665738,0.8154596100278552,0.5383008356545961,0.9456824512534819,False,0.15227603912353516
19,3.283186573946543,0.006963788300835654,0.009749303621169917,0.04874651810584958,0.04596100278551532,0.5466573816155988,0.8112813370473537,0.6086350974930362,0.9415041782729805,False,0.15529751777648926
20,3.279714478192594,0.012534818941504178,0.009749303621169917,0.03899721448467967,0.04665738161559889,0.46657381615598886,0.887883008356546,0.541782729805014,0.9373259052924791,False,0.15846800804138184
21,3.2428649698877363,0.008356545961002786,0.010445682451253482,0.0403899721448468,0.05083565459610028,0.5974930362116991,0.8189415041782729,0.6497214484679665,0.9623955431754875,True,0.16252708435058594
22,3.2357181694755983,0.010445682451253482,0.009749303621169917,0.05153203342618384,0.04944289693593315,0.4373259052924791,0.8119777158774373,0.5348189415041783,0.9415041782729805,False,0.1657106876373291
23,3.2640672511632043,0.006963788300835654,0.010445682451253482,0.04596100278551532,0.052924791086350974,0.5466573816155988,0.8391364902506964,0.6232590529247911,0.9589136490250696,False,0.1495668888092041
24,3.2247635445145613,0.006267409470752089,0.009749303621169917,0.05083565459610028,0.04944289693593315,0.5626740947075209,0.8725626740947076,0.6176880222841226,0.9596100278551533,False,0.15573740005493164
25,3.202416989406198,0.011838440111420613,0.010445682451253482,0.04456824512534819,0.05501392757660167,0.5181058495821727,0.8161559888579387,0.591225626740947,0.9637883008356546,False,0.15492558479309082
26,3.2009866993946354,0.00766016713091922,0.011142061281337047,0.05222841225626741,0.05362116991643454,0.5557103064066853,0.935933147632312,0.6225626740947076,0.9610027855153204,False,0.15651273727416992
27,3.2013257474952836,0.006267409470752089,0.008356545961002786,0.04178272980501393,0.05153203342618384,0.5947075208913649,0.6476323119777159,0.6483286908077994,0.947075208913649,False,0.15567874908447266
28,3.2152113725599167,0.009749303621169917,0.010445682451253482,0.04805013927576602,0.05362116991643454,0.5870473537604457,0.9289693593314763,0.6566852367688022,0.9589136490250696,False,0.1514737606048584
29,3.193294180681463,0.009749303621169917,0.009052924791086351,0.054317548746518104,0.05013927576601671,0.5424791086350975,0.7360724233983287,0.6142061281337048,0.9477715877437326,False,0.1596517562866211
30,3.195652033638672,0.00766016713091922,0.009052924791086351,0.04108635097493036,0.05222841225626741,0.6072423398328691,0.8189415041782729,0.6664345403899722,0.9637883008356546,True,0.1559581756591797
31,3.2207523522641757,0.00766016713091922,0.010445682451253482,0.05222841225626741,0.054317548746518104,0.5766016713091922,0.8189415041782729,0.6295264623955432,0.9435933147632312,False,0.16401171684265137
32,3.180895643240202,0.00766016713091922,0.008356545961002786,0.04387186629526462,0.056406685236768804,0.5285515320334262,0.658774373259053,0.6093314763231198,0.9637883008356546,False,0.16149163246154785
33,3.1651687826577826,0.009749303621169917,0.009749303621169917,0.04665738161559889,0.05153203342618384,0.5376044568245125,0.7625348189415042,0.6037604456824512,0.9463788300835655,False,0.1584475040435791
34,3.17957704207039,0.006267409470752089,0.011142061281337047,0.0403899721448468,0.054317548746518104,0.6149025069637883,0.8837047353760445,0.6545961002785515,0.9651810584958217,True,0.15436887741088867
35,3.183688815020801,0.010445682451253482,0.011142061281337047,0.04735376044568245,0.052924791086350974,0.5118384401114207,0.8955431754874652,0.575208913649025,0.963091922005571,False,0.15636587142944336
36,3.1501179524532943,0.008356545961002786,0.011838440111420613,0.052924791086350974,0.054317548746518104,0.5710306406685237,0.9401114206128134,0.6176880222841226,0.9498607242339833,False,0.15772032737731934
37,3.1558690907355778,0.011142061281337047,0.011838440111420613,0.05362116991643454,0.05362116991643454,0.637883008356546,0.9401114206128134,0.6956824512534819,0.947075208913649,True,0.15909123420715332
38,3.141253178538342,0.009052924791086351,0.009052924791086351,0.05153203342618384,0.05501392757660167,0.5557103064066853,0.7186629526462396,0.6344011142061281,0.9623955431754875,False,0.15865278244018555
39,3.13497608442717,0.009052924791086351,0.009749303621169917,0.04735376044568245,0.054317548746518104,0.616991643454039,0.7827298050139275,0.6692200557103064,0.963091922005571,False,0.15874862670898438
40,3.121088634002826,0.010445682451253482,0.011838440111420613,0.05222841225626741,0.055710306406685235,0.6051532033426184,0.9401114206128134,0.6552924791086351,0.9784122562674095,False,0.15996718406677246
41,3.1106709157089405,0.009749303621169917,0.010445682451253482,0.04108635097493036,0.056406685236768804,0.5814763231197771,0.8363509749303621,0.637883008356546,0.9825905292479109,False,0.16053295135498047
42,3.1176925820257244,0.009052924791086351,0.009749303621169917,0.06267409470752089,0.05362116991643454,0.5884401114206128,0.7980501392757661,0.6350974930362117,0.9449860724233984,False,0.15772008895874023
43,3.126947003383601,0.00766016713091922,0.012534818941504178,0.04108635097493036,0.056406685236768804,0.6615598885793872,0.9415041782729805,0.7089136490250696,0.963091922005571,True,0.16015148162841797
44,3.115740756206191,0.010445682451253482,0.010445682451253482,0.05153203342618384,0.052924791086350974,0.5487465181058496,0.9289693593314763,0.6211699164345403,0.9658774373259053,False,0.1598503589630127
45,3.1082085147174685,0.013231197771587743,0.011142061281337047,0.05153203342618384,0.05501392757660167,0.6162952646239555,0.8064066852367688,0.6720055710306406,0.963091922005571,False,0.1589958667755127
46,3.1016747985902016,0.009052924791086351,0.009749303621169917,0.04874651810584958,0.055710306406685235,0.6824512534818942,0.7186629526462396,0.717966573816156,0.9665738161559888,True,0.1581563949584961
47,3.124447285348151,0.011838440111420613,0.011838440111420613,0.04317548746518106,0.054317548746518104,0.6142061281337048,0.9401114206128134,0.6740947075208914,0.9651810584958217,False,0.19575738906860352
48,3.1011231252348432,0.009052924791086351,0.011142061281337047,0.04526462395543175,0.054317548746518104,0.6253481894150418,0.7137883008356546,0.6789693593314763,0.9651810584958217,False,0.16293978691101074
49,3.1016296765355116,0.011838440111420613,0.011142061281337047,0.04456824512534819,0.054317548746518104,0.5327298050139275,0.8231197771587744,0.5940111420612814,0.9651810584958217,False,0.1522657871246338
50,3.099606890419611,0.005571030640668524,0.009052924791086351,0.04526462395543175,0.05501392757660167,0.6023676880222841,0.775766016713092,0.6824512534818942,0.9575208913649025,False,0.1511223316192627
