epoch,train_loss,val_strict_i2t_R@1,val_strict_t2i_R@1,val_strict_i2t_R@5,val_strict_t2i_R@5,val_template_i2t_R@1,val_template_t2i_R@1,val_template_i2t_R@5,val_template_t2i_R@5,is_best,time_seconds
1,4.7381607943301045,0.004178272980501393,0.009052924791086351,0.035515320334261836,0.031337047353760444,0.5396935933147632,0.674791086350975,0.6462395543175488,0.9449860724233984,True,0.5322813987731934
2,3.717293467137937,0.004874651810584958,0.012534818941504178,0.0403899721448468,0.03899721448467967,0.5557103064066853,0.8488857938718662,0.6852367688022284,0.9428969359331476,True,0.2323296070098877
3,3.5778986156098336,0.00766016713091922,0.009052924791086351,0.034122562674094706,0.03899721448467967,0.5410863509749304,0.8064066852367688,0.6810584958217271,0.9477715877437326,False,0.18906450271606445
4,3.5193197385489903,0.005571030640668524,0.009052924791086351,0.04247910863509749,0.04247910863509749,0.5675487465181058,0.8892757660167131,0.692200557103064,0.9498607242339833,True,0.19504642486572266
5,3.471676183431058,0.008356545961002786,0.006963788300835654,0.04456824512534819,0.0383008356545961,0.5940111420612814,0.7409470752089137,0.7040389972144847,0.9623955431754875,True,0.30273938179016113
6,3.449248257534101,0.009052924791086351,0.009749303621169917,0.04317548746518106,0.04108635097493036,0.5661559888579387,0.8098885793871866,0.7047353760445683,0.9442896935933147,False,0.21931147575378418
7,3.4332664651344214,0.006267409470752089,0.010445682451253482,0.037604456824512536,0.04665738161559889,0.5933147632311978,0.846100278551532,0.708217270194986,0.9686629526462396,False,0.14416170120239258
8,3.3903915989198166,0.009052924791086351,0.009749303621169917,0.0383008356545961,0.04665738161559889,0.6079387186629527,0.8920612813370473,0.7249303621169917,0.9477715877437326,True,0.15991973876953125
9,3.3625068616956306,0.006963788300835654,0.011142061281337047,0.04108635097493036,0.05153203342618384,0.6051532033426184,0.9171309192200557,0.7277158774373259,0.9547353760445683,False,0.15652203559875488
10,3.364061679791006,0.008356545961002786,0.009052924791086351,0.04805013927576602,0.05013927576601671,0.6622562674094707,0.841225626740947,0.75,0.9623955431754875,True,0.17142891883850098
11,3.321941201677935,0.011838440111420613,0.008356545961002786,0.04805013927576602,0.04317548746518106,0.6385793871866295,0.8474930362116991,0.7701949860724234,0.9658774373259053,False,0.1644599437713623
12,3.3170272934384744,0.008356545961002786,0.008356545961002786,0.04456824512534819,0.05362116991643454,0.6371866295264624,0.850974930362117,0.7743732590529248,0.967966573816156,False,0.1553804874420166
13,3.3064243528743273,0.009749303621169917,0.012534818941504178,0.034818941504178275,0.04944289693593315,0.6469359331476323,0.8356545961002786,0.7437325905292479,0.9686629526462396,False,0.18293976783752441
14,3.2756929905505308,0.013231197771587743,0.009749303621169917,0.05153203342618384,0.04735376044568245,0.6511142061281338,0.8147632311977716,0.7409470752089137,0.9735376044568245,False,0.19415521621704102
15,3.308806180693697,0.013927576601671309,0.011838440111420613,0.04526462395543175,0.05083565459610028,0.6399721448467967,0.8377437325905293,0.7632311977715878,0.9700557103064067,False,0.16571307182312012
16,3.2557946090317484,0.006963788300835654,0.012534818941504178,0.04108635097493036,0.055710306406685235,0.6532033426183844,0.8823119777158774,0.7576601671309192,0.9637883008356546,False,0.155747652053833
17,3.2346281672892387,0.008356545961002786,0.011142061281337047,0.04526462395543175,0.05501392757660167,0.6810584958217271,0.8398328690807799,0.7722841225626741,0.9561281337047354,True,0.16075873374938965
18,3.215402334909921,0.009052924791086351,0.009749303621169917,0.04526462395543175,0.054317548746518104,0.5919220055710307,0.8161559888579387,0.7221448467966574,0.9756267409470752,False,0.1986253261566162
