epoch,train_loss,val_strict_i2t_R@1,val_strict_t2i_R@1,val_strict_i2t_R@5,val_strict_t2i_R@5,val_template_i2t_R@1,val_template_t2i_R@1,val_template_i2t_R@5,val_template_t2i_R@5,is_best,time_seconds
1,4.711968974255058,0.004874651810584958,0.006267409470752089,0.033426183844011144,0.035515320334261836,0.520891364902507,0.6497214484679665,0.6532033426183844,0.9512534818941504,True,0.26769089698791504
2,3.7162341837650974,0.009052924791086351,0.008356545961002786,0.036211699164345405,0.04596100278551532,0.5501392757660167,0.8537604456824512,0.6838440111420613,0.9484679665738162,True,0.15035009384155273
3,3.573596233661221,0.004874651810584958,0.006963788300835654,0.034818941504178275,0.03969359331476323,0.5348189415041783,0.7611420612813371,0.6622562674094707,0.9428969359331476,False,0.1417982578277588
4,3.514289880274834,0.011142061281337047,0.00766016713091922,0.04387186629526462,0.03969359331476323,0.5536211699164345,0.7785515320334262,0.6643454038997214,0.9484679665738162,True,0.13396525382995605
5,3.4862164788445456,0.00766016713091922,0.008356545961002786,0.034818941504178275,0.04178272980501393,0.6037604456824512,0.7618384401114207,0.7116991643454039,0.9644846796657381,True,0.1871023178100586
6,3.431294543848734,0.006267409470752089,0.009052924791086351,0.034818941504178275,0.0403899721448468,0.5731197771587744,0.7653203342618384,0.6998607242339833,0.9456824512534819,False,0.15610647201538086
7,3.425214601619052,0.004874651810584958,0.005571030640668524,0.033426183844011144,0.04596100278551532,0.6183844011142061,0.8426183844011143,0.7151810584958217,0.9512534818941504,True,0.13994383811950684
8,3.384111429777877,0.009052924791086351,0.008356545961002786,0.04596100278551532,0.04735376044568245,0.6142061281337048,0.9164345403899722,0.7284122562674095,0.9533426183844012,False,0.14410400390625
9,3.3593072453961104,0.00766016713091922,0.009052924791086351,0.03969359331476323,0.05013927576601671,0.6183844011142061,0.9178272980501393,0.7430362116991643,0.9554317548746518,False,0.13768410682678223
10,3.3568993868563077,0.006267409470752089,0.008356545961002786,0.04456824512534819,0.05083565459610028,0.6643454038997214,0.908774373259053,0.770891364902507,0.9463788300835655,True,0.13376855850219727
11,3.3163675849168506,0.012534818941504178,0.008356545961002786,0.04874651810584958,0.04805013927576602,0.6636490250696379,0.9122562674094707,0.7681058495821727,0.9561281337047354,False,0.20874714851379395
12,3.3154294812076923,0.008356545961002786,0.008356545961002786,0.04596100278551532,0.05153203342618384,0.6455431754874652,0.9164345403899722,0.7778551532033426,0.9540389972144847,False,0.2143540382385254
13,3.3007759202738813,0.008356545961002786,0.011838440111420613,0.037604456824512536,0.05013927576601671,0.658774373259053,0.8934540389972145,0.7625348189415042,0.963091922005571,False,0.15853071212768555
14,3.2701909978242494,0.010445682451253482,0.011142061281337047,0.04735376044568245,0.04596100278551532,0.6545961002785515,0.8788300835654597,0.7597493036211699,0.9519498607242339,False,0.18360280990600586
15,3.291803838086738,0.011142061281337047,0.013231197771587743,0.04874651810584958,0.05501392757660167,0.6566852367688022,0.8732590529247911,0.7778551532033426,0.9658774373259053,False,0.20391058921813965
16,3.2456076197228576,0.006963788300835654,0.010445682451253482,0.04178272980501393,0.05222841225626741,0.6448467966573816,0.8474930362116991,0.7388579387186629,0.9512534818941504,False,0.18792438507080078
17,3.237416224522808,0.009749303621169917,0.012534818941504178,0.05013927576601671,0.057799442896935935,0.7005571030640668,0.8969359331476323,0.7862116991643454,0.9512534818941504,True,0.17023944854736328
18,3.21589404943208,0.011142061281337047,0.009052924791086351,0.04108635097493036,0.05501392757660167,0.6504178272980501,0.8649025069637883,0.7458217270194986,0.9665738161559888,False,0.19060945510864258
19,3.246459420888928,0.008356545961002786,0.010445682451253482,0.03690807799442897,0.05083565459610028,0.6392757660167131,0.7862116991643454,0.770891364902507,0.9686629526462396,False,0.1513817310333252
20,3.214348982385152,0.005571030640668524,0.011142061281337047,0.04526462395543175,0.05013927576601671,0.6545961002785515,0.8962395543175488,0.7750696378830083,0.9533426183844012,False,0.16077399253845215
21,3.1852814467787667,0.010445682451253482,0.011142061281337047,0.052924791086350974,0.057799442896935935,0.6135097493036211,0.850974930362117,0.7520891364902507,0.9665738161559888,False,0.14064955711364746
22,3.165062058514829,0.009052924791086351,0.013231197771587743,0.04317548746518106,0.055710306406685235,0.6775766016713092,0.8168523676880223,0.791782729805014,0.9637883008356546,False,0.15106201171875
23,3.193937752928053,0.010445682451253482,0.00766016713091922,0.04805013927576602,0.04735376044568245,0.6796657381615598,0.8655988857938719,0.7848189415041783,0.9575208913649025,False,0.14912819862365723
24,3.1592370573796114,0.00766016713091922,0.016713091922005572,0.04178272980501393,0.05013927576601671,0.6594707520891365,0.8697771587743732,0.7694986072423399,0.9540389972144847,False,0.15010547637939453
25,3.1362635518191238,0.006963788300835654,0.009052924791086351,0.04108635097493036,0.04387186629526462,0.674791086350975,0.807799442896936,0.786908077994429,0.958217270194986,False,0.14494800567626953
26,3.1473234995632566,0.008356545961002786,0.012534818941504178,0.04178272980501393,0.05013927576601671,0.6894150417827298,0.8767409470752089,0.7952646239554317,0.9561281337047354,False,0.16735339164733887
27,3.1347904991374786,0.012534818941504178,0.009052924791086351,0.05153203342618384,0.05153203342618384,0.6615598885793872,0.8057103064066853,0.7792479108635098,0.9519498607242339,False,0.15432429313659668
