group,feature,posture,class_a,class_b,n_a,n_b,mean_a,mean_b,std_a,std_b,cohen_d,overlap_estimate
C1_C5_C6,bottom_stability_gyro,all,C5,C6,1549,1549,0.177893,0.162832,0.117132,0.105474,0.135127,0.946133
C1_C5_C6,bottom_stability_gyro,SA,C1,C5,516,519,0.181080,0.221298,0.101756,0.140265,-0.328225,0.869642
C1_C5_C6,bottom_stability_gyro,SA,C1,C6,516,518,0.181080,0.189153,0.101756,0.117621,-0.073410,0.970720
C1_C5_C6,bottom_stability_gyro,SA,C5,C6,519,518,0.221298,0.189153,0.140265,0.117621,0.248341,0.901180
C1_C5_C6,bottom_stability_gyro,CA,C1,C5,519,514,0.136637,0.155715,0.065434,0.084091,-0.253225,0.899247
C1_C5_C6,bottom_stability_gyro,CA,C1,C6,519,512,0.136637,0.143890,0.065434,0.079362,-0.099727,0.960231
C1_C5_C6,bottom_stability_gyro,CA,C5,C6,514,512,0.155715,0.143890,0.084091,0.079362,0.144632,0.942350
C1_C5_C6,bottom_stability_gyro,HW,C1,C5,518,516,0.147470,0.156326,0.096977,0.107256,-0.086619,0.965455
C1_C5_C6,bottom_stability_gyro,HW,C1,C6,518,519,0.147470,0.155248,0.096977,0.109902,-0.075049,0.970067
C1_C5_C6,bottom_stability_gyro,HW,C5,C6,516,519,0.156326,0.155248,0.107256,0.109902,0.009930,0.996039
C1_C5_C6,bottom_recovery_slope_acc_z,all,C1,C5,1553,1549,0.110358,0.115380,0.135581,0.142420,-0.036119,0.985591
C1_C5_C6,bottom_recovery_slope_acc_z,all,C1,C6,1553,1549,0.110358,0.117987,0.135581,0.141248,-0.055105,0.978019
C1_C5_C6,bottom_recovery_slope_acc_z,all,C5,C6,1549,1549,0.115380,0.117987,0.142420,0.141248,-0.018380,0.992668
C1_C5_C6,bottom_recovery_slope_acc_z,SA,C1,C5,516,519,0.132365,0.160176,0.144584,0.148778,-0.189581,0.924481
C1_C5_C6,bottom_recovery_slope_acc_z,SA,C1,C6,516,518,0.132365,0.148726,0.144584,0.151413,-0.110518,0.955932
C1_C5_C6,bottom_recovery_slope_acc_z,SA,C5,C6,519,518,0.160176,0.148726,0.148778,0.151413,0.076281,0.969576
C1_C5_C6,bottom_recovery_slope_acc_z,CA,C1,C5,519,514,0.144276,0.131441,0.154301,0.163135,0.080833,0.967761
C1_C5_C6,bottom_recovery_slope_acc_z,CA,C1,C6,519,512,0.144276,0.148376,0.154301,0.156708,-0.026365,0.989482
C1_C5_C6,bottom_recovery_slope_acc_z,CA,C5,C6,514,512,0.131441,0.148376,0.163135,0.156708,-0.105872,0.957783
C1_C5_C6,bottom_recovery_slope_acc_z,HW,C1,C5,518,516,0.054452,0.054324,0.075312,0.078189,0.001663,0.999337
C1_C5_C6,bottom_recovery_slope_acc_z,HW,C1,C6,518,519,0.054452,0.057327,0.075312,0.083088,-0.036266,0.985533
C1_C5_C6,bottom_recovery_slope_acc_z,HW,C5,C6,516,519,0.054324,0.057327,0.078189,0.083088,-0.037227,0.985149
C1_C5_C6,bottom_transition_delta_acc_z,all,C1,C5,1553,1549,-0.705872,-0.722153,1.322495,1.426448,0.011837,0.995278
C1_C5_C6,bottom_transition_delta_acc_z,all,C1,C6,1553,1549,-0.705872,-0.666925,1.322495,1.351763,-0.029126,0.988381
C1_C5_C6,bottom_transition_delta_acc_z,all,C5,C6,1549,1549,-0.722153,-0.666925,1.426448,1.351763,-0.039744,0.984146
C1_C5_C6,bottom_transition_delta_acc_z,SA,C1,C5,516,519,-1.245640,-1.160568,1.247627,1.347886,-0.065505,0.973872
C1_C5_C6,bottom_transition_delta_acc_z,SA,C1,C6,516,518,-1.245640,-1.112766,1.247627,1.311944,-0.103793,0.958611
C1_C5_C6,bottom_transition_delta_acc_z,SA,C5,C6,519,518,-1.160568,-1.112766,1.347886,1.311944,-0.035940,0.985663
C1_C5_C6,bottom_transition_delta_acc_z,CA,C1,C5,519,514,-0.871036,-0.992934,1.672434,1.854454,0.069033,0.972465
C1_C5_C6,bottom_transition_delta_acc_z,CA,C1,C6,519,512,-0.871036,-0.913357,1.672434,1.721942,0.024934,0.990053
C1_C5_C6,bottom_transition_delta_acc_z,CA,C5,C6,514,512,-0.992934,-0.913357,1.854454,1.721942,-0.044470,0.982260
C1_C5_C6,bottom_transition_delta_acc_z,HW,C1,C5,518,516,-0.002706,-0.011458,0.280361,0.289348,0.030720,0.987745
C1_C5_C6,bottom_transition_delta_acc_z,HW,C1,C6,518,519,-0.002706,0.021167,0.280361,0.280846,-0.085077,0.966069
C1_C5_C6,bottom_transition_delta_acc_z,HW,C5,C6,516,519,-0.011458,0.021167,0.289348,0.280846,-0.114422,0.954377
C1_C5_C6,lateral_proxy_gyro,all,C1,C5,1553,1549,0.389284,0.447115,0.213105,0.260625,-0.242932,0.903322
