class_id,posture_canonical,feature,n,n_nan,mean,std,median,p25,p75
C3,CA,bottom_recovery_slope_acc_z,515,0,0.110346,0.103891,0.100375,0.053225,0.169370
C3,CA,bottom_transition_delta_acc_z,515,0,-0.752683,1.540543,-0.426111,-1.631867,0.322439
C3,CA,lateral_proxy_gyro,515,0,0.447981,0.207373,0.403952,0.304976,0.531571
C3,CA,anchor_reliability,515,0,0.802083,0.168716,0.843400,0.720267,0.925650
C3,HW,depth_proxy,506,0,0.322758,2.223216,0.201429,-1.170237,1.787578
C3,HW,motion_range_acc_z,506,0,4.042881,1.443475,3.900425,2.771100,4.976200
C3,HW,motion_range_gyro_mag,506,0,1.124671,0.333641,1.105862,0.885125,1.310131
C3,HW,bottom_stability_acc,506,0,0.397926,0.263982,0.306995,0.225771,0.489715
C3,HW,bottom_stability_gyro,506,0,0.093392,0.095387,0.062398,0.036868,0.114801
C3,HW,bottom_recovery_slope_acc_z,506,0,0.056061,0.066699,0.042641,0.011748,0.093153
C3,HW,bottom_transition_delta_acc_z,506,0,-0.034564,0.387041,-0.011961,-0.119164,0.094317
C3,HW,lateral_proxy_gyro,506,0,0.210085,0.233932,0.127143,0.088286,0.216143
C3,HW,anchor_reliability,506,0,0.898221,0.201322,1.000000,1.000000,1.000000
C4,SA,depth_proxy,519,0,7.692012,0.844314,7.716485,7.185460,8.190636
C4,SA,motion_range_acc_z,519,0,4.659784,1.283752,4.505100,3.826825,5.374000
C4,SA,motion_range_gyro_mag,519,0,0.667442,0.238342,0.608436,0.515111,0.776325
C4,SA,bottom_stability_acc,519,0,0.957989,0.423194,0.866271,0.665890,1.137406
C4,SA,bottom_stability_gyro,519,0,0.216375,0.127914,0.187643,0.138474,0.255051
C4,SA,bottom_recovery_slope_acc_z,519,0,0.132219,0.117471,0.124816,0.060587,0.201832
C4,SA,bottom_transition_delta_acc_z,519,0,-1.131207,1.319822,-0.955944,-1.810867,-0.198489
C4,SA,lateral_proxy_gyro,519,0,0.646218,0.255668,0.588286,0.467905,0.785405
C4,SA,anchor_reliability,519,0,0.829496,0.149011,0.863013,0.756932,0.933773
C4,CA,depth_proxy,502,0,7.688766,0.956935,7.699616,7.101631,8.245394
C4,CA,motion_range_acc_z,502,0,5.051526,1.346625,5.062950,4.113450,5.915100
