split,true_class,pred_class,count
train,C1,C1,896
train,C1,C2,7
train,C1,C3,1
train,C1,C4,7
train,C1,C5,116
train,C1,C6,49
train,C2,C1,22
train,C2,C2,927
train,C2,C3,84
train,C2,C4,20
train,C2,C5,16
train,C2,C6,7
train,C3,C1,3
train,C3,C2,126
train,C3,C3,763
train,C3,C4,149
train,C3,C5,9
train,C3,C6,2
train,C4,C1,4
train,C4,C2,34
train,C4,C3,271
train,C4,C4,718
train,C4,C5,22
train,C4,C6,19
train,C5,C1,223
train,C5,C2,15
train,C5,C3,9
train,C5,C4,31
train,C5,C5,682
train,C5,C6,110
train,C6,C1,129
train,C6,C2,17
train,C6,C3,1
train,C6,C4,12
train,C6,C5,94
train,C6,C6,817
val,C1,C1,142
val,C1,C2,7
val,C1,C3,6
val,C1,C4,18
val,C1,C5,52
val,C1,C6,15
val,C2,C1,8
val,C2,C2,181
val,C2,C3,42
val,C2,C4,4
val,C2,C5,4
val,C2,C6,1
val,C3,C1,6
val,C3,C2,51
val,C3,C3,128
val,C3,C4,42
val,C3,C5,6
val,C3,C6,6
val,C4,C1,0
val,C4,C2,22
val,C4,C3,79
val,C4,C4,92
val,C4,C5,23
val,C4,C6,21
val,C5,C1,74
val,C5,C2,14
val,C5,C3,10
val,C5,C4,25
val,C5,C5,83
val,C5,C6,35
val,C6,C1,40
val,C6,C2,10
val,C6,C3,7
val,C6,C4,25
val,C6,C5,33
val,C6,C6,124
test,C1,C1,157
test,C1,C2,17
test,C1,C3,1
test,C1,C4,0
test,C1,C5,41
test,C1,C6,21
test,C2,C1,27
test,C2,C2,170
test,C2,C3,32
test,C2,C4,5
test,C2,C5,2
test,C2,C6,3
test,C3,C1,7
test,C3,C2,59
test,C3,C3,104
test,C3,C4,62
test,C3,C5,3
test,C3,C6,3
test,C4,C1,7
test,C4,C2,34
test,C4,C3,72
test,C4,C4,108
test,C4,C5,10
test,C4,C6,4
test,C5,C1,66
test,C5,C2,8
test,C5,C3,2
test,C5,C4,31
test,C5,C5,70
test,C5,C6,61
test,C6,C1,62
test,C6,C2,10
test,C6,C3,2
test,C6,C4,19
test,C6,C5,60
test,C6,C6,87
