split,true_class,pred_class,count
train,C1,C1,1051
train,C1,C2,5
train,C1,C3,0
train,C1,C4,0
train,C1,C5,15
train,C1,C6,5
train,C2,C1,4
train,C2,C2,1054
train,C2,C3,11
train,C2,C4,6
train,C2,C5,2
train,C2,C6,1
train,C3,C1,1
train,C3,C2,41
train,C3,C3,985
train,C3,C4,25
train,C3,C5,0
train,C3,C6,0
train,C4,C1,0
train,C4,C2,4
train,C4,C3,136
train,C4,C4,923
train,C4,C5,6
train,C4,C6,4
train,C5,C1,42
train,C5,C2,3
train,C5,C3,1
train,C5,C4,8
train,C5,C5,995
train,C5,C6,24
train,C6,C1,12
train,C6,C2,4
train,C6,C3,3
train,C6,C4,2
train,C6,C5,21
train,C6,C6,1031
val,C1,C1,140
val,C1,C2,18
val,C1,C3,6
val,C1,C4,12
val,C1,C5,21
val,C1,C6,42
val,C2,C1,11
val,C2,C2,181
val,C2,C3,20
val,C2,C4,6
val,C2,C5,8
val,C2,C6,13
val,C3,C1,0
val,C3,C2,58
val,C3,C3,101
val,C3,C4,68
val,C3,C5,5
val,C3,C6,7
val,C4,C1,6
val,C4,C2,21
val,C4,C3,81
val,C4,C4,104
val,C4,C5,11
val,C4,C6,4
val,C5,C1,63
val,C5,C2,32
val,C5,C3,7
val,C5,C4,23
val,C5,C5,72
val,C5,C6,42
val,C6,C1,21
val,C6,C2,10
val,C6,C3,13
val,C6,C4,16
val,C6,C5,55
val,C6,C6,125
test,C1,C1,143
test,C1,C2,25
test,C1,C3,9
test,C1,C4,3
test,C1,C5,39
test,C1,C6,19
test,C2,C1,11
test,C2,C2,177
test,C2,C3,33
test,C2,C4,10
test,C2,C5,1
test,C2,C6,6
test,C3,C1,1
test,C3,C2,49
test,C3,C3,133
test,C3,C4,48
test,C3,C5,2
test,C3,C6,5
test,C4,C1,2
test,C4,C2,24
test,C4,C3,98
test,C4,C4,84
test,C4,C5,13
test,C4,C6,19
test,C5,C1,87
test,C5,C2,13
test,C5,C3,7
test,C5,C4,15
test,C5,C5,64
test,C5,C6,51
test,C6,C1,42
test,C6,C2,13
test,C6,C3,11
test,C6,C4,32
test,C6,C5,27
test,C6,C6,111
