split,true_class,pred_class,count
train,C1,C1,856
train,C1,C2,37
train,C1,C3,1
train,C1,C4,3
train,C1,C5,124
train,C1,C6,53
train,C2,C1,27
train,C2,C2,946
train,C2,C3,52
train,C2,C4,24
train,C2,C5,18
train,C2,C6,10
train,C3,C1,0
train,C3,C2,173
train,C3,C3,628
train,C3,C4,238
train,C3,C5,5
train,C3,C6,9
train,C4,C1,6
train,C4,C2,41
train,C4,C3,144
train,C4,C4,802
train,C4,C5,40
train,C4,C6,39
train,C5,C1,179
train,C5,C2,16
train,C5,C3,3
train,C5,C4,36
train,C5,C5,658
train,C5,C6,181
train,C6,C1,118
train,C6,C2,10
train,C6,C3,4
train,C6,C4,12
train,C6,C5,191
train,C6,C6,741
val,C1,C1,150
val,C1,C2,9
val,C1,C3,4
val,C1,C4,5
val,C1,C5,54
val,C1,C6,18
val,C2,C1,12
val,C2,C2,167
val,C2,C3,22
val,C2,C4,14
val,C2,C5,14
val,C2,C6,11
val,C3,C1,5
val,C3,C2,23
val,C3,C3,68
val,C3,C4,96
val,C3,C5,27
val,C3,C6,20
val,C4,C1,3
val,C4,C2,11
val,C4,C3,47
val,C4,C4,105
val,C4,C5,38
val,C4,C6,25
val,C5,C1,45
val,C5,C2,10
val,C5,C3,2
val,C5,C4,22
val,C5,C5,116
val,C5,C6,45
val,C6,C1,36
val,C6,C2,2
val,C6,C3,2
val,C6,C4,10
val,C6,C5,55
val,C6,C6,132
test,C1,C1,175
test,C1,C2,3
test,C1,C3,1
test,C1,C4,0
test,C1,C5,48
test,C1,C6,12
test,C2,C1,13
test,C2,C2,168
test,C2,C3,28
test,C2,C4,21
test,C2,C5,3
test,C2,C6,5
test,C3,C1,7
test,C3,C2,57
test,C3,C3,77
test,C3,C4,81
test,C3,C5,9
test,C3,C6,6
test,C4,C1,4
test,C4,C2,34
test,C4,C3,54
test,C4,C4,114
test,C4,C5,24
test,C4,C6,9
test,C5,C1,59
test,C5,C2,12
test,C5,C3,3
test,C5,C4,10
test,C5,C5,102
test,C5,C6,50
test,C6,C1,44
test,C6,C2,6
test,C6,C3,6
test,C6,C4,8
test,C6,C5,57
test,C6,C6,115
