split,stage,metric,value
train,before,accuracy,0.7207782101167315
train,before,balanced_accuracy,0.7203012567025762
train,before,macro_f1,0.7177606193116265
train,before,log_loss,0.6781880167468761
train,before,brier_multiclass,0.3820195119464519
train,before,ece_15bin,0.05806996290090019
train,before,top1_prob_mean,0.6632327437400818
train,before,top1_prob_p25,0.5172879695892334
train,before,top1_prob_p50,0.6434890627861023
train,before,top1_prob_p75,0.8143342137336731
train,before,top1_top2_margin_mean,0.42906731367111206
train,before,predictive_entropy_mean,0.7940205335617065
train,before,n,6425.0
train,after,accuracy,0.7207782101167315
train,after,balanced_accuracy,0.7203012567025762
train,after,macro_f1,0.7177606193116265
train,after,log_loss,0.8178520430208436
train,after,brier_multiclass,0.4387946064797672
train,after,ece_15bin,0.19893370239651156
train,after,top1_prob_mean,0.5218445062637329
train,after,top1_prob_p25,0.4091179668903351
train,after,top1_prob_p50,0.49756985902786255
train,after,top1_prob_p75,0.6142260432243347
train,after,top1_top2_margin_mean,0.2545904219150543
train,after,predictive_entropy_mean,1.146899938583374
train,after,n,6425.0
val,before,accuracy,0.5178947368421053
val,before,balanced_accuracy,0.5173604673796334
val,before,macro_f1,0.51535883072227
val,before,log_loss,1.3275084101032186
val,before,brier_multiclass,0.6356143884790755
val,before,ece_15bin,0.11535382741375971
val,before,top1_prob_mean,0.6332485675811768
val,before,top1_prob_p25,0.4937540590763092
val,before,top1_prob_p50,0.6128169298171997
val,before,top1_prob_p75,0.7758796811103821
val,before,top1_top2_margin_mean,0.390362411737442
val,before,predictive_entropy_mean,0.8620355129241943
val,before,n,1425.0
val,after,accuracy,0.5178947368421053
val,after,balanced_accuracy,0.5173604673796334
val,after,macro_f1,0.51535883072227
val,after,log_loss,1.1985695364271667
val,after,brier_multiclass,0.6114629558944182
val,after,ece_15bin,0.037222187132166136
val,after,top1_prob_mean,0.4948146343231201
val,after,top1_prob_p25,0.3918311893939972
val,after,top1_prob_p50,0.4750950038433075
val,after,top1_prob_p75,0.5795681476593018
val,after,top1_top2_margin_mean,0.22496776282787323
val,after,predictive_entropy_mean,1.198046326637268
val,after,n,1425.0
test,before,accuracy,0.5270175438596492
test,before,balanced_accuracy,0.5265789023422233
test,before,macro_f1,0.5190006297402252
test,before,log_loss,1.1472091126365829
test,before,brier_multiclass,0.6025908384330533
test,before,ece_15bin,0.10717856223123115
test,before,top1_prob_mean,0.634185791015625
test,before,top1_prob_p25,0.5007103085517883
test,before,top1_prob_p50,0.6090086102485657
test,before,top1_prob_p75,0.759204626083374
test,before,top1_top2_margin_mean,0.3911122977733612
test,before,predictive_entropy_mean,0.8585042953491211
test,before,n,1425.0
test,after,accuracy,0.5270175438596492
test,after,balanced_accuracy,0.5265789023422233
test,after,macro_f1,0.5190006297402252
test,after,log_loss,1.0996680371951177
test,after,brier_multiclass,0.5846413978575739
test,after,ece_15bin,0.03797505943398724
test,after,top1_prob_mean,0.49598684906959534
test,after,top1_prob_p25,0.38704830408096313
test,after,top1_prob_p50,0.4722138047218323
test,after,top1_prob_p75,0.5726410150527954
test,after,top1_top2_margin_mean,0.22741903364658356
test,after,predictive_entropy_mean,1.1992515325546265
test,after,n,1425.0
—,—,fitted_temperature,1.8400955200195312
