split,true_class,pred_class,count
train,C1,C1,939
train,C1,C2,26
train,C1,C3,1
train,C1,C4,0
train,C1,C5,84
train,C1,C6,25
train,C2,C1,19
train,C2,C2,957
train,C2,C3,68
train,C2,C4,20
train,C2,C5,11
train,C2,C6,0
train,C3,C1,3
train,C3,C2,80
train,C3,C3,817
train,C3,C4,160
train,C3,C5,2
train,C3,C6,3
train,C4,C1,4
train,C4,C2,30
train,C4,C3,236
train,C4,C4,754
train,C4,C5,32
train,C4,C6,19
train,C5,C1,209
train,C5,C2,28
train,C5,C3,4
train,C5,C4,17
train,C5,C5,652
train,C5,C6,161
train,C6,C1,101
train,C6,C2,23
train,C6,C3,0
train,C6,C4,2
train,C6,C5,53
train,C6,C6,894
val,C1,C1,128
val,C1,C2,15
val,C1,C3,10
val,C1,C4,9
val,C1,C5,36
val,C1,C6,40
val,C2,C1,10
val,C2,C2,155
val,C2,C3,50
val,C2,C4,15
val,C2,C5,3
val,C2,C6,7
val,C3,C1,2
val,C3,C2,56
val,C3,C3,99
val,C3,C4,61
val,C3,C5,3
val,C3,C6,7
val,C4,C1,0
val,C4,C2,20
val,C4,C3,68
val,C4,C4,124
val,C4,C5,17
val,C4,C6,8
val,C5,C1,62
val,C5,C2,12
val,C5,C3,6
val,C5,C4,32
val,C5,C5,92
val,C5,C6,35
val,C6,C1,35
val,C6,C2,13
val,C6,C3,5
val,C6,C4,23
val,C6,C5,37
val,C6,C6,125
test,C1,C1,111
test,C1,C2,32
test,C1,C3,14
test,C1,C4,8
test,C1,C5,54
test,C1,C6,21
test,C2,C1,2
test,C2,C2,151
test,C2,C3,49
test,C2,C4,23
test,C2,C5,7
test,C2,C6,8
test,C3,C1,0
test,C3,C2,29
test,C3,C3,105
test,C3,C4,96
test,C3,C5,4
test,C3,C6,2
test,C4,C1,0
test,C4,C2,2
test,C4,C3,72
test,C4,C4,104
test,C4,C5,25
test,C4,C6,25
test,C5,C1,53
test,C5,C2,32
test,C5,C3,12
test,C5,C4,26
test,C5,C5,77
test,C5,C6,39
test,C6,C1,25
test,C6,C2,14
test,C6,C3,13
test,C6,C4,19
test,C6,C5,53
test,C6,C6,114
