split,true_class,pred_class,count
train,C1,C1,860
train,C1,C2,26
train,C1,C3,0
train,C1,C4,3
train,C1,C5,129
train,C1,C6,56
train,C2,C1,61
train,C2,C2,885
train,C2,C3,47
train,C2,C4,35
train,C2,C5,31
train,C2,C6,18
train,C3,C1,8
train,C3,C2,248
train,C3,C3,524
train,C3,C4,244
train,C3,C5,14
train,C3,C6,15
train,C4,C1,8
train,C4,C2,75
train,C4,C3,203
train,C4,C4,622
train,C4,C5,107
train,C4,C6,57
train,C5,C1,311
train,C5,C2,15
train,C5,C3,3
train,C5,C4,32
train,C5,C5,585
train,C5,C6,127
train,C6,C1,220
train,C6,C2,7
train,C6,C3,9
train,C6,C4,36
train,C6,C5,211
train,C6,C6,593
val,C1,C1,193
val,C1,C2,3
val,C1,C3,3
val,C1,C4,1
val,C1,C5,29
val,C1,C6,11
val,C2,C1,23
val,C2,C2,163
val,C2,C3,15
val,C2,C4,8
val,C2,C5,12
val,C2,C6,19
val,C3,C1,6
val,C3,C2,42
val,C3,C3,69
val,C3,C4,75
val,C3,C5,35
val,C3,C6,12
val,C4,C1,7
val,C4,C2,16
val,C4,C3,53
val,C4,C4,95
val,C4,C5,47
val,C4,C6,11
val,C5,C1,64
val,C5,C2,5
val,C5,C3,4
val,C5,C4,9
val,C5,C5,128
val,C5,C6,30
val,C6,C1,52
val,C6,C2,3
val,C6,C3,2
val,C6,C4,7
val,C6,C5,40
val,C6,C6,133
test,C1,C1,191
test,C1,C2,1
test,C1,C3,1
test,C1,C4,1
test,C1,C5,32
test,C1,C6,13
test,C2,C1,17
test,C2,C2,176
test,C2,C3,17
test,C2,C4,17
test,C2,C5,5
test,C2,C6,6
test,C3,C1,4
test,C3,C2,62
test,C3,C3,90
test,C3,C4,58
test,C3,C5,12
test,C3,C6,11
test,C4,C1,4
test,C4,C2,28
test,C4,C3,73
test,C4,C4,100
test,C4,C5,29
test,C4,C6,5
test,C5,C1,88
test,C5,C2,13
test,C5,C3,6
test,C5,C4,9
test,C5,C5,83
test,C5,C6,37
test,C6,C1,99
test,C6,C2,9
test,C6,C3,5
test,C6,C4,3
test,C6,C5,37
test,C6,C6,83
