split,stage,metric,value
train,before,accuracy,0.6333073929961089
train,before,balanced_accuracy,0.6327728707390373
train,before,macro_f1,0.6281157563090932
train,before,log_loss,0.8647002003352097
train,before,brier_multiclass,0.47688539181662387
train,before,ece_15bin,0.04741227395571623
train,before,top1_prob_mean,0.5858951210975647
train,before,top1_prob_p25,0.4674113392829895
train,before,top1_prob_p50,0.5643841028213501
train,before,top1_prob_p75,0.6970836520195007
train,before,top1_top2_margin_mean,0.3229905366897583
train,before,predictive_entropy_mean,0.9770635962486267
train,before,n,6425.0
train,after,accuracy,0.6333073929961089
train,after,balanced_accuracy,0.6327728707390373
train,after,macro_f1,0.6281157563090932
train,after,log_loss,0.9152681335736478
train,after,brier_multiclass,0.4958229157305377
train,after,ece_15bin,0.11577708255688036
train,after,top1_prob_mean,0.5175303220748901
train,after,top1_prob_p25,0.41328802704811096
train,after,top1_prob_p50,0.4982580542564392
train,after,top1_prob_p75,0.6062347888946533
train,after,top1_top2_margin_mean,0.24334608018398285
train,after,predictive_entropy_mean,1.1447041034698486
train,after,n,6425.0
val,before,accuracy,0.5480701754385965
val,before,balanced_accuracy,0.546899698618028
val,before,macro_f1,0.5377279146304321
val,before,log_loss,1.2155396130959164
val,before,brier_multiclass,0.5982902373075474
val,before,ece_15bin,0.019488185581408045
val,before,top1_prob_mean,0.5585203170776367
val,before,top1_prob_p25,0.44815996289253235
val,before,top1_prob_p50,0.5356782674789429
val,before,top1_prob_p75,0.646854043006897
val,before,top1_top2_margin_mean,0.2869732081890106
val,before,predictive_entropy_mean,1.0310909748077393
val,before,n,1425.0
val,after,accuracy,0.5480701754385965
val,after,balanced_accuracy,0.546899698618028
val,after,macro_f1,0.5377279146304321
val,after,log_loss,1.189901745444169
val,after,brier_multiclass,0.599625517041769
val,after,ece_15bin,0.05750150048941897
val,after,top1_prob_mean,0.4932593107223511
val,after,top1_prob_p25,0.39757177233695984
val,after,top1_prob_p50,0.47777101397514343
val,after,top1_prob_p75,0.5604764819145203
val,after,top1_top2_margin_mean,0.21466109156608582
val,after,predictive_entropy_mean,1.1895318031311035
val,after,n,1425.0
test,before,accuracy,0.5073684210526316
test,before,balanced_accuracy,0.5067009476713604
test,before,macro_f1,0.49299211143010085
test,before,log_loss,1.128549336944537
test,before,brier_multiclass,0.6051185208903564
test,before,ece_15bin,0.07055630560506854
test,before,top1_prob_mean,0.5757401585578918
test,before,top1_prob_p25,0.45640307664871216
test,before,top1_prob_p50,0.5505760908126831
test,before,top1_prob_p75,0.6774761080741882
test,before,top1_top2_margin_mean,0.31429463624954224
test,before,predictive_entropy_mean,1.00843346118927
test,before,n,1425.0
test,after,accuracy,0.5073684210526316
test,after,balanced_accuracy,0.5067009476713604
test,after,macro_f1,0.49299211143010085
test,after,log_loss,1.1207316498406665
test,after,brier_multiclass,0.5983721515430561
test,after,ece_15bin,0.018380695048131453
test,after,top1_prob_mean,0.5065328478813171
test,after,top1_prob_p25,0.40283554792404175
test,after,top1_prob_p50,0.4848751723766327
test,after,top1_prob_p75,0.5883312225341797
test,after,top1_top2_margin_mean,0.2359636276960373
test,after,predictive_entropy_mean,1.1786226034164429
test,after,n,1425.0
—,—,fitted_temperature,1.3384740352630615
