class_id,n,attention_entropy_mean,attention_entropy_p25,attention_entropy_p50,attention_entropy_p75,descending_mass_mean,bottom_transition_mass_mean,ascending_recovery_mass_mean,peak_phase_descending_count,peak_phase_bottom_transition_count,peak_phase_ascending_recovery_count,most_common_peak_phase,anchor_distance_n,anchor_distance_mean,anchor_distance_p50
C1,1553,3.064119815826416,2.755112648010254,3.060304641723633,3.333984613418579,0.354295652030153,0.38506793096897135,0.2606364195506619,533,637,383,bottom_transition,1553,27.184803605924017,13.0
C2,1555,3.5768017768859863,3.2534457445144653,3.627124786376953,3.966101884841919,0.33195844319330114,0.4002026628916245,0.2678388909608324,550,673,332,bottom_transition,1555,31.68231511254019,22.0
C3,1529,3.2520253658294678,2.779435634613037,3.2462563514709473,3.705360174179077,0.5701043070661715,0.2611686784723225,0.1687270154474111,947,426,156,descending,1529,38.10987573577501,39.0
C4,1540,3.0474557876586914,2.700035810470581,3.018023133277893,3.3583130836486816,0.6462210166465261,0.24680937602032968,0.10696960668853789,1069,396,75,descending,1540,40.98376623376623,42.0
C5,1549,2.933760404586792,2.612006664276123,2.957805633544922,3.2650156021118164,0.5780376060861,0.2657965246118357,0.15616587024417983,962,404,183,descending,1549,41.89025177533893,41.0
C6,1549,2.951502799987793,2.6281542778015137,2.976102113723755,3.287090301513672,0.5860033569934445,0.263139774769765,0.15085687113043397,972,405,172,descending,1549,41.87927695287282,41.0
