posture_canonical,n,attention_entropy_mean,attention_entropy_p25,attention_entropy_p50,attention_entropy_p75,descending_mass_mean,bottom_transition_mass_mean,ascending_recovery_mass_mean,peak_phase_descending_count,peak_phase_bottom_transition_count,peak_phase_ascending_recovery_count,most_common_peak_phase,anchor_distance_n,anchor_distance_mean,anchor_distance_p50
CA,3080,3.024191379547119,2.659354507923126,3.006641983985901,3.362155497074127,0.2111304036309968,0.5166349538160128,0.27223464243773604,642,1757,681,bottom_transition,3080,20.692532467532466,6.0
HW,3097,3.132599353790283,2.7507734298706055,3.0889554023742676,3.460651159286499,0.7091086260418746,0.221697104258961,0.06919427260896761,2238,640,219,descending,3097,35.59864384888602,37.0
SA,3098,3.2556605339050293,2.871197283267975,3.263174295425415,3.6813798546791077,0.6100693259145564,0.17470294517287138,0.21522772799767248,2153,544,401,descending,3098,54.43705616526791,69.0
