split,true_class,pred_class,count
train,C1,C1,1014
train,C1,C2,18
train,C1,C3,1
train,C1,C4,0
train,C1,C5,32
train,C1,C6,11
train,C2,C1,6
train,C2,C2,957
train,C2,C3,99
train,C2,C4,12
train,C2,C5,3
train,C2,C6,1
train,C3,C1,4
train,C3,C2,33
train,C3,C3,935
train,C3,C4,79
train,C3,C5,1
train,C3,C6,0
train,C4,C1,1
train,C4,C2,7
train,C4,C3,169
train,C4,C4,864
train,C4,C5,27
train,C4,C6,5
train,C5,C1,136
train,C5,C2,23
train,C5,C3,7
train,C5,C4,17
train,C5,C5,841
train,C5,C6,49
train,C6,C1,109
train,C6,C2,11
train,C6,C3,2
train,C6,C4,9
train,C6,C5,84
train,C6,C6,858
val,C1,C1,124
val,C1,C2,23
val,C1,C3,8
val,C1,C4,7
val,C1,C5,54
val,C1,C6,23
val,C2,C1,22
val,C2,C2,154
val,C2,C3,41
val,C2,C4,8
val,C2,C5,9
val,C2,C6,5
val,C3,C1,5
val,C3,C2,26
val,C3,C3,127
val,C3,C4,74
val,C3,C5,3
val,C3,C6,4
val,C4,C1,6
val,C4,C2,8
val,C4,C3,72
val,C4,C4,124
val,C4,C5,13
val,C4,C6,4
val,C5,C1,56
val,C5,C2,17
val,C5,C3,16
val,C5,C4,19
val,C5,C5,81
val,C5,C6,50
val,C6,C1,48
val,C6,C2,8
val,C6,C3,4
val,C6,C4,11
val,C6,C5,59
val,C6,C6,110
test,C1,C1,150
test,C1,C2,22
test,C1,C3,3
test,C1,C4,6
test,C1,C5,37
test,C1,C6,20
test,C2,C1,19
test,C2,C2,154
test,C2,C3,40
test,C2,C4,17
test,C2,C5,2
test,C2,C6,6
test,C3,C1,5
test,C3,C2,57
test,C3,C3,120
test,C3,C4,44
test,C3,C5,3
test,C3,C6,9
test,C4,C1,0
test,C4,C2,22
test,C4,C3,90
test,C4,C4,86
test,C4,C5,30
test,C4,C6,12
test,C5,C1,99
test,C5,C2,12
test,C5,C3,12
test,C5,C4,13
test,C5,C5,69
test,C5,C6,32
test,C6,C1,53
test,C6,C2,13
test,C6,C3,13
test,C6,C4,29
test,C6,C5,25
test,C6,C6,103
