epoch,train_loss,val_loss,val_accuracy,val_macro_f1,lr,time_seconds,is_best
1,1.7125848049085288,1.5994908799700087,0.36629526462395545,0.32208401661311525,0.001,0.5340445041656494,True
2,1.5791510264723285,1.478020759014034,0.4233983286908078,0.4141389377176569,0.001,0.3938014507293701,True
3,1.4551960052881698,1.4454129341585058,0.3906685236768802,0.36777449107538446,0.001,0.3977019786834717,False
4,1.3667948672121493,1.4240025959307105,0.42270194986072424,0.4070314451344679,0.001,0.40913963317871094,False
5,1.3211871781947089,1.3292040203939242,0.46030640668523676,0.44867072968846244,0.001,0.39516735076904297,True
6,1.2560524993290845,1.3796424166737824,0.43454038997214484,0.4022204153993889,0.001,0.3859260082244873,False
7,1.2121568034755685,1.3951198702735157,0.44986072423398327,0.4361727432139202,0.001,0.38220977783203125,False
8,1.165767041653748,1.4843610040324644,0.4637883008356546,0.44747363950518887,0.001,0.43979477882385254,False
9,1.099089225976079,1.4770446951010765,0.4254874651810585,0.42081268223929075,0.001,0.3722264766693115,False
10,1.0728692184443482,1.2474530821142091,0.5034818941504178,0.485299763649311,0.001,0.3814103603363037,True
11,1.028142898326655,1.2833738141073159,0.467966573816156,0.4576835174459841,0.001,0.4148261547088623,False
12,0.9930082934020239,1.3482487776153267,0.4895543175487465,0.483351576829673,0.001,0.37393999099731445,False
13,0.9563297164194746,1.342391113633897,0.5006963788300836,0.4892385411562096,0.001,0.38056087493896484,True
14,0.9314260510303642,1.3351391883862715,0.4818941504178273,0.47173162352182957,0.001,0.40648698806762695,False
15,0.9094555586929702,1.3642793849608692,0.467966573816156,0.46012895159915956,0.001,0.3871901035308838,False
16,0.8750443280449675,1.4724543840938291,0.4763231197771588,0.46795164407324413,0.001,0.4119150638580322,False
17,0.8517280707341466,1.3990108985920802,0.5,0.4885339353202669,0.001,0.4240536689758301,False
18,0.8268514536576798,1.4073378406983896,0.4909470752089137,0.47930134107613936,0.001,0.403470516204834,False
19,0.8192494214510665,1.3352206999171412,0.5083565459610028,0.5002812943362228,0.001,0.40787816047668457,True
20,0.7868708189174821,1.350423144804402,0.4972144846796657,0.49038576241964327,0.001,0.42764854431152344,False
21,0.7701760746506103,1.465365941561032,0.47980501392757663,0.4815263842671862,0.001,0.43703460693359375,False
22,0.7371621905493126,1.5263397232901752,0.47214484679665736,0.4745953834988923,0.001,0.39455318450927734,False
23,0.7040612471155725,1.5216610087989764,0.5139275766016713,0.5063543025134737,0.001,0.4284393787384033,True
24,0.6750450519123303,1.592949359861921,0.48467966573816157,0.4868272157792355,0.001,0.41445136070251465,False
25,0.6709232781912041,1.555857087202723,0.4895543175487465,0.4844476943061416,0.001,0.4345097541809082,False
26,0.6435208139163735,1.5412744599962633,0.4937325905292479,0.4885162463449599,0.001,0.5132937431335449,False
27,0.617974679468575,1.6584474000260025,0.47841225626740946,0.4677879787627925,0.001,0.42528629302978516,False
28,0.5688361651214747,1.635883589101369,0.48259052924791085,0.479545444726927,0.001,0.47929954528808594,False
29,0.5476593107858897,1.6258610538868519,0.48885793871866295,0.4878168977028216,0.001,0.4521956443786621,False
30,0.5533943157306107,1.9906981620615904,0.479108635097493,0.4757047630150604,0.001,0.43688321113586426,False
31,0.5095816434582396,1.904548864095656,0.48676880222841223,0.4811809695893161,0.001,0.458723783493042,False
32,0.5242194652334274,1.8627369409235075,0.4853760445682451,0.48208329808282907,0.001,0.5415706634521484,False
33,0.47013916117990306,1.9550889776941793,0.5083565459610028,0.5097247533591943,0.001,0.5242383480072021,True
34,0.4383405744471702,2.106376379230228,0.46866295264623953,0.47204695914768235,0.001,0.44658589363098145,False
35,0.4252904691011253,2.099848033657977,0.4937325905292479,0.49090023392715726,0.001,0.4699118137359619,False
36,0.41529913453927875,2.05756491763014,0.4805013927576602,0.477221933830676,0.001,0.408017635345459,False
37,0.41354602839302734,2.181646957287881,0.4972144846796657,0.4911196946883596,0.001,0.47722578048706055,False
38,0.4064396341666533,2.173981480528717,0.4895543175487465,0.48637268602484185,0.001,0.4510016441345215,False
39,0.34842904886266846,2.1565544463092237,0.4958217270194986,0.4966845746039918,0.001,0.4460115432739258,False
40,0.3362294366526291,2.260874145210287,0.4937325905292479,0.4860161822629669,0.001,0.4277632236480713,False
41,0.3541500123771964,2.384186830319734,0.49512534818941506,0.48361772618950555,0.001,0.533419132232666,False
42,0.33942468515269025,2.429725289759862,0.48259052924791085,0.4777233077281535,0.001,0.4153411388397217,False
43,0.3224275284403202,2.304123588923292,0.4853760445682451,0.4823777053944725,0.001,0.4103217124938965,False
44,0.303953636003076,2.354238147523078,0.4979108635097493,0.4949465227193614,0.001,0.39870119094848633,False
45,0.26795688136733475,2.5548830526286843,0.48746518105849584,0.4834136874466266,0.001,0.37580180168151855,False
46,0.26823633736323654,2.5306572402752208,0.4881615598885794,0.4908345834619892,0.001,0.398303747177124,False
47,0.26827362248545056,2.6221061099040477,0.49651810584958217,0.49645045973313956,0.001,0.40225791931152344,False
48,0.26914032269327326,2.4476234750993404,0.5055710306406686,0.5030698228531398,0.001,0.46200108528137207,False
