split,true_class,pred_class,count
train,C1,C1,932
train,C1,C2,42
train,C1,C3,2
train,C1,C4,3
train,C1,C5,69
train,C1,C6,28
train,C2,C1,9
train,C2,C2,937
train,C2,C3,108
train,C2,C4,14
train,C2,C5,2
train,C2,C6,6
train,C3,C1,3
train,C3,C2,101
train,C3,C3,849
train,C3,C4,95
train,C3,C5,2
train,C3,C6,2
train,C4,C1,1
train,C4,C2,39
train,C4,C3,269
train,C4,C4,733
train,C4,C5,18
train,C4,C6,8
train,C5,C1,129
train,C5,C2,42
train,C5,C3,1
train,C5,C4,37
train,C5,C5,782
train,C5,C6,79
train,C6,C1,62
train,C6,C2,12
train,C6,C3,5
train,C6,C4,17
train,C6,C5,103
train,C6,C6,871
val,C1,C1,151
val,C1,C2,16
val,C1,C3,2
val,C1,C4,13
val,C1,C5,40
val,C1,C6,18
val,C2,C1,5
val,C2,C2,181
val,C2,C3,41
val,C2,C4,9
val,C2,C5,2
val,C2,C6,2
val,C3,C1,3
val,C3,C2,26
val,C3,C3,136
val,C3,C4,68
val,C3,C5,4
val,C3,C6,2
val,C4,C1,0
val,C4,C2,11
val,C4,C3,89
val,C4,C4,99
val,C4,C5,12
val,C4,C6,26
val,C5,C1,59
val,C5,C2,23
val,C5,C3,7
val,C5,C4,24
val,C5,C5,96
val,C5,C6,32
val,C6,C1,39
val,C6,C2,10
val,C6,C3,2
val,C6,C4,16
val,C6,C5,37
val,C6,C6,135
test,C1,C1,153
test,C1,C2,9
test,C1,C3,5
test,C1,C4,2
test,C1,C5,39
test,C1,C6,29
test,C2,C1,6
test,C2,C2,176
test,C2,C3,36
test,C2,C4,11
test,C2,C5,4
test,C2,C6,6
test,C3,C1,2
test,C3,C2,51
test,C3,C3,138
test,C3,C4,42
test,C3,C5,3
test,C3,C6,2
test,C4,C1,0
test,C4,C2,28
test,C4,C3,78
test,C4,C4,113
test,C4,C5,7
test,C4,C6,9
test,C5,C1,72
test,C5,C2,12
test,C5,C3,0
test,C5,C4,45
test,C5,C5,77
test,C5,C6,32
test,C6,C1,37
test,C6,C2,17
test,C6,C3,4
test,C6,C4,25
test,C6,C5,60
test,C6,C6,97
