split,true_class,pred_class,count
train,C1,C1,1034
train,C1,C2,3
train,C1,C3,0
train,C1,C4,0
train,C1,C5,29
train,C1,C6,9
train,C2,C1,22
train,C2,C2,992
train,C2,C3,32
train,C2,C4,10
train,C2,C5,13
train,C2,C6,6
train,C3,C1,1
train,C3,C2,90
train,C3,C3,894
train,C3,C4,73
train,C3,C5,3
train,C3,C6,4
train,C4,C1,2
train,C4,C2,28
train,C4,C3,177
train,C4,C4,838
train,C4,C5,20
train,C4,C6,10
train,C5,C1,183
train,C5,C2,7
train,C5,C3,1
train,C5,C4,14
train,C5,C5,809
train,C5,C6,57
train,C6,C1,93
train,C6,C2,2
train,C6,C3,0
train,C6,C4,6
train,C6,C5,79
train,C6,C6,893
val,C1,C1,131
val,C1,C2,13
val,C1,C3,11
val,C1,C4,16
val,C1,C5,47
val,C1,C6,20
val,C2,C1,9
val,C2,C2,147
val,C2,C3,55
val,C2,C4,9
val,C2,C5,9
val,C2,C6,11
val,C3,C1,1
val,C3,C2,45
val,C3,C3,120
val,C3,C4,54
val,C3,C5,4
val,C3,C6,4
val,C4,C1,0
val,C4,C2,31
val,C4,C3,60
val,C4,C4,127
val,C4,C5,15
val,C4,C6,4
val,C5,C1,58
val,C5,C2,6
val,C5,C3,8
val,C5,C4,32
val,C5,C5,89
val,C5,C6,46
val,C6,C1,54
val,C6,C2,5
val,C6,C3,4
val,C6,C4,17
val,C6,C5,45
val,C6,C6,113
test,C1,C1,137
test,C1,C2,12
test,C1,C3,5
test,C1,C4,11
test,C1,C5,51
test,C1,C6,24
test,C2,C1,9
test,C2,C2,159
test,C2,C3,33
test,C2,C4,19
test,C2,C5,11
test,C2,C6,9
test,C3,C1,1
test,C3,C2,36
test,C3,C3,118
test,C3,C4,72
test,C3,C5,7
test,C3,C6,2
test,C4,C1,3
test,C4,C2,3
test,C4,C3,93
test,C4,C4,107
test,C4,C5,16
test,C4,C6,6
test,C5,C1,61
test,C5,C2,20
test,C5,C3,10
test,C5,C4,30
test,C5,C5,96
test,C5,C6,22
test,C6,C1,40
test,C6,C2,8
test,C6,C3,6
test,C6,C4,30
test,C6,C5,60
test,C6,C6,94
