condition,split,n,metric,value
raw,test,2496,recall_C4,0.2607655502392344
raw,test,2496,f1_C4,0.2648845686512758
raw,test,2496,support_C4,418.0
raw,test,2496,precision_C5,0.2181372549019608
raw,test,2496,recall_C5,0.21291866028708134
raw,test,2496,f1_C5,0.21549636803874092
raw,test,2496,support_C5,418.0
raw,test,2496,precision_C6,0.25675675675675674
raw,test,2496,recall_C6,0.22673031026252982
raw,test,2496,f1_C6,0.24081115335868186
raw,test,2496,support_C6,419.0
zscore,train,6063,accuracy,0.9930727362691737
zscore,train,6063,balanced_accuracy,0.9930736644272923
zscore,train,6063,macro_f1,0.993071757633814
zscore,train,6063,weighted_f1,0.9930733559438638
zscore,train,6063,log_loss,0.328628959633626
zscore,train,6063,brier_multiclass,0.12472500526378294
zscore,train,6063,ece_15bin,0.2538429062191973
zscore,train,6063,top1_prob_mean,0.7392298300499764
zscore,train,6063,top1_prob_p05,0.45171226225441447
zscore,train,6063,top1_prob_p25,0.6404965650480221
zscore,train,6063,top1_prob_p50,0.7605217855073692
zscore,train,6063,top1_prob_p75,0.8581003958721025
zscore,train,6063,top1_prob_p95,0.9537218945147428
zscore,train,6063,top1_top2_margin_mean,0.6100669869777435
zscore,train,6063,top1_top2_margin_p05,0.1969265781449565
zscore,train,6063,top1_top2_margin_p25,0.4649634042637951
zscore,train,6063,top1_top2_margin_p50,0.6372504538422568
zscore,train,6063,top1_top2_margin_p75,0.7772547076968038
zscore,train,6063,top1_top2_margin_p95,0.9274832372050646
zscore,train,6063,amb_c2_recall,0.9960552268244576
zscore,train,6063,amb_c1_c5_c6_internal,0.005603164139749505
zscore,train,6063,amb_c3_c4_pair,0.001488833746898263
zscore,train,6063,amb_c3_to_c2_absorb,0.0009900990099009901
zscore,train,6063,amb_c4_to_c2_absorb,0.0
zscore,train,6063,precision_C1,0.9901477832512315
zscore,train,6063,recall_C1,0.9911242603550295
zscore,train,6063,f1_C1,0.9906357811729917
zscore,train,6063,support_C1,1014.0
zscore,train,6063,precision_C2,0.9960552268244576
zscore,train,6063,recall_C2,0.9960552268244576
zscore,train,6063,f1_C2,0.9960552268244576
zscore,train,6063,support_C2,1014.0
zscore,train,6063,precision_C3,0.9990069513406157
zscore,train,6063,recall_C3,0.996039603960396
zscore,train,6063,f1_C3,0.9975210708973723
zscore,train,6063,support_C3,1010.0
zscore,train,6063,precision_C4,0.9881422924901185
zscore,train,6063,recall_C4,0.9950248756218906
zscore,train,6063,f1_C4,0.991571641051066
zscore,train,6063,support_C4,1005.0
zscore,train,6063,precision_C5,0.995004995004995
zscore,train,6063,recall_C5,0.9861386138613861
zscore,train,6063,f1_C5,0.9905519641969169
zscore,train,6063,support_C5,1010.0
zscore,train,6063,precision_C6,0.9901380670611439
zscore,train,6063,recall_C6,0.994059405940594
zscore,train,6063,f1_C6,0.9920948616600791
zscore,train,6063,support_C6,1010.0
zscore,val,716,accuracy,0.2946927374301676
zscore,val,716,balanced_accuracy,0.29452422948412255
zscore,val,716,macro_f1,0.2767335993444057
zscore,val,716,weighted_f1,0.2765161343592462
zscore,val,716,log_loss,1.9213234638021552
zscore,val,716,brier_multiclass,0.8843420907360601
zscore,val,716,ece_15bin,0.24345860472412548
zscore,val,716,top1_prob_mean,0.538151342154293
zscore,val,716,top1_prob_p05,0.2826754276137969
zscore,val,716,top1_prob_p25,0.3808485383589695
zscore,val,716,top1_prob_p50,0.49909371363771515
zscore,val,716,top1_prob_p75,0.6707330791591413
zscore,val,716,top1_prob_p95,0.9125613225838308
zscore,val,716,top1_top2_margin_mean,0.31458346671708043
zscore,val,716,top1_top2_margin_p05,0.017579797378904208
zscore,val,716,top1_top2_margin_p25,0.08667933109361238
zscore,val,716,top1_top2_margin_p50,0.23555091443411466
zscore,val,716,top1_top2_margin_p75,0.49675594686624786
zscore,val,716,top1_top2_margin_p95,0.8585613677074116
zscore,val,716,amb_c2_recall,0.6833333333333333
zscore,val,716,amb_c1_c5_c6_internal,0.3611111111111111
zscore,val,716,amb_c3_c4_pair,0.2457627118644068
zscore,val,716,amb_c3_to_c2_absorb,0.46218487394957986
zscore,val,716,amb_c4_to_c2_absorb,0.1282051282051282
zscore,val,716,precision_C1,0.28431372549019607
zscore,val,716,recall_C1,0.24369747899159663
zscore,val,716,f1_C1,0.26244343891402716
zscore,val,716,support_C1,119.0
zscore,val,716,precision_C2,0.30036630036630035
zscore,val,716,recall_C2,0.6833333333333333
zscore,val,716,f1_C2,0.4173027989821883
zscore,val,716,support_C2,120.0
zscore,val,716,precision_C3,0.27058823529411763
zscore,val,716,recall_C3,0.19327731092436976
zscore,val,716,f1_C3,0.22549019607843138
zscore,val,716,support_C3,119.0
zscore,val,716,precision_C4,0.4225352112676056
zscore,val,716,recall_C4,0.2564102564102564
zscore,val,716,f1_C4,0.3191489361702128
zscore,val,716,support_C4,117.0
zscore,val,716,precision_C5,0.23684210526315788
zscore,val,716,recall_C5,0.1487603305785124
zscore,val,716,f1_C5,0.18274111675126903
zscore,val,716,support_C5,121.0
zscore,val,716,precision_C6,0.26605504587155965
zscore,val,716,recall_C6,0.24166666666666667
zscore,val,716,f1_C6,0.25327510917030566
zscore,val,716,support_C6,120.0
zscore,test,2496,accuracy,0.2876602564102564
zscore,test,2496,balanced_accuracy,0.28724721368418926
zscore,test,2496,macro_f1,0.2824037625856734
zscore,test,2496,weighted_f1,0.2827150458680697
zscore,test,2496,log_loss,2.072842727257685
zscore,test,2496,brier_multiclass,0.9046219827975914
zscore,test,2496,ece_15bin,0.2694270781239715
zscore,test,2496,top1_prob_mean,0.5570873345342279
zscore,test,2496,top1_prob_p05,0.29566012358937566
zscore,test,2496,top1_prob_p25,0.4026271824298058
zscore,test,2496,top1_prob_p50,0.5168671710053487
zscore,test,2496,top1_prob_p75,0.697853949269383
zscore,test,2496,top1_prob_p95,0.930948031372699
zscore,test,2496,top1_top2_margin_mean,0.3370380912237383
zscore,test,2496,top1_top2_margin_p05,0.018680038262681088
zscore,test,2496,top1_top2_margin_p25,0.11290857762376838
zscore,test,2496,top1_top2_margin_p50,0.2592320892120429
zscore,test,2496,top1_top2_margin_p75,0.5203236275565093
zscore,test,2496,top1_top2_margin_p95,0.8867874920171012
zscore,test,2496,amb_c2_recall,0.43705463182897863
zscore,test,2496,amb_c1_c5_c6_internal,0.4017501988862371
zscore,test,2496,amb_c3_c4_pair,0.26405867970660146
zscore,test,2496,amb_c3_to_c2_absorb,0.16
zscore,test,2496,amb_c4_to_c2_absorb,0.11961722488038277
zscore,test,2496,precision_C1,0.32007952286282304
zscore,test,2496,recall_C1,0.38333333333333336
zscore,test,2496,f1_C1,0.3488624052004334
zscore,test,2496,support_C1,420.0
zscore,test,2496,precision_C2,0.39400428265524623
zscore,test,2496,recall_C2,0.43705463182897863
zscore,test,2496,f1_C2,0.4144144144144144
zscore,test,2496,support_C2,421.0
zscore,test,2496,precision_C3,0.268733850129199
zscore,test,2496,recall_C3,0.26
zscore,test,2496,f1_C3,0.26429479034307496
zscore,test,2496,support_C3,400.0
zscore,test,2496,precision_C4,0.2818181818181818
zscore,test,2496,recall_C4,0.2966507177033493
zscore,test,2496,f1_C4,0.289044289044289
zscore,test,2496,support_C4,418.0
zscore,test,2496,precision_C5,0.18873239436619718
zscore,test,2496,recall_C5,0.16028708133971292
zscore,test,2496,f1_C5,0.17335058214747737
zscore,test,2496,support_C5,418.0
zscore,test,2496,precision_C6,0.22674418604651161
zscore,test,2496,recall_C6,0.18615751789976134
zscore,test,2496,f1_C6,0.20445609436435125
zscore,test,2496,support_C6,419.0
