split,true_class,pred_class,count
train,C1,C1,954
train,C1,C2,10
train,C1,C3,1
train,C1,C4,0
train,C1,C5,73
train,C1,C6,38
train,C2,C1,7
train,C2,C2,1032
train,C2,C3,23
train,C2,C4,6
train,C2,C5,8
train,C2,C6,2
train,C3,C1,1
train,C3,C2,109
train,C3,C3,838
train,C3,C4,107
train,C3,C5,3
train,C3,C6,6
train,C4,C1,0
train,C4,C2,37
train,C4,C3,100
train,C4,C4,885
train,C4,C5,22
train,C4,C6,20
train,C5,C1,106
train,C5,C2,25
train,C5,C3,2
train,C5,C4,10
train,C5,C5,832
train,C5,C6,98
train,C6,C1,27
train,C6,C2,8
train,C6,C3,0
train,C6,C4,2
train,C6,C5,58
train,C6,C6,978
val,C1,C1,130
val,C1,C2,21
val,C1,C3,3
val,C1,C4,2
val,C1,C5,33
val,C1,C6,48
val,C2,C1,8
val,C2,C2,178
val,C2,C3,26
val,C2,C4,11
val,C2,C5,5
val,C2,C6,12
val,C3,C1,1
val,C3,C2,45
val,C3,C3,116
val,C3,C4,59
val,C3,C5,3
val,C3,C6,4
val,C4,C1,10
val,C4,C2,23
val,C4,C3,60
val,C4,C4,104
val,C4,C5,27
val,C4,C6,15
val,C5,C1,54
val,C5,C2,17
val,C5,C3,4
val,C5,C4,15
val,C5,C5,99
val,C5,C6,49
val,C6,C1,37
val,C6,C2,16
val,C6,C3,3
val,C6,C4,28
val,C6,C5,42
val,C6,C6,112
test,C1,C1,133
test,C1,C2,13
test,C1,C3,1
test,C1,C4,5
test,C1,C5,59
test,C1,C6,29
test,C2,C1,6
test,C2,C2,167
test,C2,C3,36
test,C2,C4,18
test,C2,C5,8
test,C2,C6,2
test,C3,C1,7
test,C3,C2,36
test,C3,C3,98
test,C3,C4,94
test,C3,C5,0
test,C3,C6,2
test,C4,C1,4
test,C4,C2,9
test,C4,C3,53
test,C4,C4,140
test,C4,C5,18
test,C4,C6,13
test,C5,C1,45
test,C5,C2,14
test,C5,C3,0
test,C5,C4,23
test,C5,C5,113
test,C5,C6,43
test,C6,C1,56
test,C6,C2,7
test,C6,C3,2
test,C6,C4,8
test,C6,C5,54
test,C6,C6,111
