split,true_class,pred_class,count
train,C1,C1,839
train,C1,C2,10
train,C1,C3,5
train,C1,C4,8
train,C1,C5,177
train,C1,C6,37
train,C2,C1,42
train,C2,C2,879
train,C2,C3,87
train,C2,C4,44
train,C2,C5,14
train,C2,C6,10
train,C3,C1,9
train,C3,C2,182
train,C3,C3,612
train,C3,C4,235
train,C3,C5,4
train,C3,C6,10
train,C4,C1,5
train,C4,C2,59
train,C4,C3,210
train,C4,C4,730
train,C4,C5,42
train,C4,C6,22
train,C5,C1,192
train,C5,C2,17
train,C5,C3,5
train,C5,C4,68
train,C5,C5,695
train,C5,C6,93
train,C6,C1,127
train,C6,C2,14
train,C6,C3,4
train,C6,C4,35
train,C6,C5,200
train,C6,C6,690
val,C1,C1,156
val,C1,C2,5
val,C1,C3,0
val,C1,C4,12
val,C1,C5,52
val,C1,C6,15
val,C2,C1,12
val,C2,C2,181
val,C2,C3,29
val,C2,C4,10
val,C2,C5,5
val,C2,C6,3
val,C3,C1,3
val,C3,C2,38
val,C3,C3,118
val,C3,C4,72
val,C3,C5,1
val,C3,C6,7
val,C4,C1,1
val,C4,C2,17
val,C4,C3,68
val,C4,C4,106
val,C4,C5,13
val,C4,C6,32
val,C5,C1,63
val,C5,C2,14
val,C5,C3,5
val,C5,C4,27
val,C5,C5,99
val,C5,C6,33
val,C6,C1,32
val,C6,C2,10
val,C6,C3,6
val,C6,C4,18
val,C6,C5,43
val,C6,C6,130
test,C1,C1,170
test,C1,C2,5
test,C1,C3,0
test,C1,C4,4
test,C1,C5,35
test,C1,C6,23
test,C2,C1,15
test,C2,C2,182
test,C2,C3,21
test,C2,C4,9
test,C2,C5,4
test,C2,C6,8
test,C3,C1,1
test,C3,C2,52
test,C3,C3,120
test,C3,C4,58
test,C3,C5,1
test,C3,C6,6
test,C4,C1,1
test,C4,C2,15
test,C4,C3,56
test,C4,C4,144
test,C4,C5,10
test,C4,C6,9
test,C5,C1,56
test,C5,C2,6
test,C5,C3,0
test,C5,C4,41
test,C5,C5,101
test,C5,C6,34
test,C6,C1,42
test,C6,C2,16
test,C6,C3,0
test,C6,C4,20
test,C6,C5,70
test,C6,C6,92
