split,true_class,pred_class,count
train,C1,C1,810
train,C1,C2,26
train,C1,C3,2
train,C1,C4,8
train,C1,C5,200
train,C1,C6,30
train,C2,C1,19
train,C2,C2,953
train,C2,C3,45
train,C2,C4,35
train,C2,C5,21
train,C2,C6,3
train,C3,C1,2
train,C3,C2,148
train,C3,C3,662
train,C3,C4,218
train,C3,C5,17
train,C3,C6,5
train,C4,C1,1
train,C4,C2,38
train,C4,C3,160
train,C4,C4,834
train,C4,C5,28
train,C4,C6,7
train,C5,C1,67
train,C5,C2,28
train,C5,C3,6
train,C5,C4,84
train,C5,C5,853
train,C5,C6,32
train,C6,C1,58
train,C6,C2,16
train,C6,C3,7
train,C6,C4,41
train,C6,C5,249
train,C6,C6,699
val,C1,C1,137
val,C1,C2,10
val,C1,C3,0
val,C1,C4,20
val,C1,C5,61
val,C1,C6,12
val,C2,C1,5
val,C2,C2,188
val,C2,C3,23
val,C2,C4,15
val,C2,C5,7
val,C2,C6,2
val,C3,C1,2
val,C3,C2,40
val,C3,C3,97
val,C3,C4,83
val,C3,C5,8
val,C3,C6,9
val,C4,C1,0
val,C4,C2,16
val,C4,C3,56
val,C4,C4,114
val,C4,C5,25
val,C4,C6,26
val,C5,C1,55
val,C5,C2,8
val,C5,C3,4
val,C5,C4,38
val,C5,C5,114
val,C5,C6,22
val,C6,C1,29
val,C6,C2,7
val,C6,C3,4
val,C6,C4,18
val,C6,C5,62
val,C6,C6,119
test,C1,C1,119
test,C1,C2,16
test,C1,C3,1
test,C1,C4,2
test,C1,C5,79
test,C1,C6,20
test,C2,C1,20
test,C2,C2,173
test,C2,C3,29
test,C2,C4,9
test,C2,C5,5
test,C2,C6,3
test,C3,C1,0
test,C3,C2,69
test,C3,C3,82
test,C3,C4,79
test,C3,C5,8
test,C3,C6,0
test,C4,C1,5
test,C4,C2,32
test,C4,C3,38
test,C4,C4,140
test,C4,C5,15
test,C4,C6,5
test,C5,C1,54
test,C5,C2,9
test,C5,C3,0
test,C5,C4,37
test,C5,C5,107
test,C5,C6,31
test,C6,C1,26
test,C6,C2,19
test,C6,C3,6
test,C6,C4,29
test,C6,C5,79
test,C6,C6,81
