split,stage,metric,value
train,before,accuracy,0.9640969847684178
train,before,balanced_accuracy,0.9640471896502443
train,before,macro_f1,0.9640121583903167
train,before,log_loss,0.11247830648113101
train,before,brier_multiclass,0.05805726568853622
train,before,ece_15bin,0.03448058812096508
train,before,top1_prob_mean,0.9296494126319885
train,before,top1_prob_p25,0.923999473452568
train,before,top1_prob_p50,0.9873216450214386
train,before,top1_prob_p75,0.9987766444683075
train,before,top1_top2_margin_mean,0.866462767124176
train,before,predictive_entropy_mean,0.18965882062911987
train,before,n,6434.0
train,after,accuracy,0.9640969847684178
train,after,balanced_accuracy,0.9640471896502443
train,after,macro_f1,0.9640121583903167
train,after,log_loss,0.5550112463738314
train,after,brier_multiclass,0.26098855019264783
train,after,ece_15bin,0.3684959454513464
train,after,top1_prob_mean,0.5956010222434998
train,after,top1_prob_p25,0.4884716272354126
train,after,top1_prob_p50,0.587505429983139
train,after,top1_prob_p75,0.6989181786775589
train,after,top1_top2_margin_mean,0.38080477714538574
train,after,predictive_entropy_mean,1.0946733951568604
train,after,n,6434.0
val,before,accuracy,0.5126760563380282
val,before,balanced_accuracy,0.5115473600547831
val,before,macro_f1,0.5083720908334199
val,before,log_loss,2.5246640152983413
val,before,brier_multiclass,0.8281645161050786
val,before,ece_15bin,0.35299665619369963
val,before,top1_prob_mean,0.8656727075576782
val,before,top1_prob_p25,0.7815971374511719
val,before,top1_prob_p50,0.9381685256958008
val,before,top1_prob_p75,0.9920913875102997
val,before,top1_top2_margin_mean,0.7509977221488953
val,before,predictive_entropy_mean,0.3368106484413147
val,before,n,1420.0
val,after,accuracy,0.5126760563380282
val,after,balanced_accuracy,0.5115473600547831
val,after,macro_f1,0.5083720908334199
val,after,log_loss,1.2163217703553313
val,after,brier_multiclass,0.6240811338332215
val,after,ece_15bin,0.041986711333755034
val,after,top1_prob_mean,0.5196472406387329
val,after,top1_prob_p25,0.41410988569259644
val,after,top1_prob_p50,0.5047775208950043
val,after,top1_prob_p75,0.6129171550273895
val,after,top1_top2_margin_mean,0.272047758102417
val,after,predictive_entropy_mean,1.215609073638916
val,after,n,1420.0
test,before,accuracy,0.4722026741731175
test,before,balanced_accuracy,0.47187704123884955
test,before,macro_f1,0.4693261807639879
test,before,log_loss,2.5776304679417774
test,before,brier_multiclass,0.8469883193115176
test,before,ece_15bin,0.37907199675897574
test,before,top1_prob_mean,0.8487774729728699
test,before,top1_prob_p25,0.7421316504478455
test,before,top1_prob_p50,0.9277070164680481
test,before,top1_prob_p75,0.9923220276832581
test,before,top1_top2_margin_mean,0.7223546504974365
test,before,predictive_entropy_mean,0.36761540174484253
test,before,n,1421.0
test,after,accuracy,0.4722026741731175
test,after,balanced_accuracy,0.47187704123884955
test,after,macro_f1,0.4693261807639879
test,after,log_loss,1.223727587058282
test,after,brier_multiclass,0.6277219599155862
test,after,ece_15bin,0.05266334945932397
test,after,top1_prob_mean,0.521754264831543
test,after,top1_prob_p25,0.40642645955085754
test,after,top1_prob_p50,0.49676668643951416
test,after,top1_prob_p75,0.6274439096450806
test,after,top1_top2_margin_mean,0.2721764147281647
test,after,predictive_entropy_mean,1.1965579986572266
test,after,n,1421.0
—,—,fitted_temperature,4.5544819831848145
