branch,split,stage,metric,value
zscore,train,before,top1_top2_margin_p50,0.637250453842257
zscore,train,before,top1_top2_margin_p75,0.7772547076968039
zscore,train,before,predictive_entropy_mean,0.8234675144950797
zscore,train,before,predictive_entropy_p25,0.5497629739536538
zscore,train,before,predictive_entropy_p50,0.8176839608793638
zscore,train,before,predictive_entropy_p75,1.0891833089148995
zscore,train,before,n,6063.0
zscore,train,after,accuracy,0.9930727362691737
zscore,train,after,balanced_accuracy,0.9930736644272923
zscore,train,after,macro_f1,0.993071757633814
zscore,train,after,log_loss,0.9550546042699423
zscore,train,after,brier_multiclass,0.46329089329213213
zscore,train,after,ece_15bin,0.597048689349887
zscore,train,after,top1_prob_mean,0.39602404691928667
zscore,train,after,top1_prob_p25,0.3275787853852005
zscore,train,after,top1_prob_p50,0.38329132549727274
zscore,train,after,top1_prob_p75,0.45078757083065124
zscore,train,after,top1_top2_margin_mean,0.2003955819162532
zscore,train,after,top1_top2_margin_p25,0.12304872256657674
zscore,train,after,top1_top2_margin_p50,0.18462907977400522
zscore,train,after,top1_top2_margin_p75,0.25812820960454175
zscore,train,after,predictive_entropy_mean,1.561963771802962
zscore,train,after,predictive_entropy_p25,1.4829361846482938
zscore,train,after,predictive_entropy_p50,1.5977158971536252
zscore,train,after,predictive_entropy_p75,1.678001016041553
zscore,train,after,n,6063.0
zscore,val,before,accuracy,0.2946927374301676
zscore,val,before,balanced_accuracy,0.29452422948412255
zscore,val,before,macro_f1,0.2767335993444057
zscore,val,before,log_loss,1.9213234638021575
zscore,val,before,brier_multiclass,0.8843420907360602
zscore,val,before,ece_15bin,0.24345860472412556
zscore,val,before,top1_prob_mean,0.5381513421542933
zscore,val,before,top1_prob_p25,0.3808485383589696
zscore,val,before,top1_prob_p50,0.4990937136377153
zscore,val,before,top1_prob_p75,0.6707330791591414
zscore,val,before,top1_top2_margin_mean,0.31458346671708054
zscore,val,before,top1_top2_margin_p25,0.08667933109361238
zscore,val,before,top1_top2_margin_p50,0.23555091443411472
zscore,val,before,top1_top2_margin_p75,0.496755946866248
zscore,val,before,predictive_entropy_mean,1.160248595288886
zscore,val,before,predictive_entropy_p25,0.92451941505859
zscore,val,before,predictive_entropy_p50,1.2402085860665002
zscore,val,before,predictive_entropy_p75,1.4677099144702261
zscore,val,before,n,716.0
zscore,val,after,accuracy,0.2946927374301676
zscore,val,after,balanced_accuracy,0.29452422948412255
zscore,val,after,macro_f1,0.2767335993444057
zscore,val,after,log_loss,1.6265862800106958
zscore,val,after,brier_multiclass,0.786321586256976
zscore,val,after,ece_15bin,0.04597501593086514
zscore,val,after,top1_prob_mean,0.3188739648917942
zscore,val,after,top1_prob_p25,0.247960864897632
zscore,val,after,top1_prob_p50,0.29332414772593846
zscore,val,after,top1_prob_p75,0.36329657774886503
zscore,val,after,top1_top2_margin_mean,0.09911951027215356
zscore,val,after,top1_top2_margin_p25,0.02303046300672667
zscore,val,after,top1_top2_margin_p50,0.061999844107473626
zscore,val,after,top1_top2_margin_p75,0.1375439114825201
zscore,val,after,predictive_entropy_mean,1.6265862800106714
zscore,val,after,predictive_entropy_p25,1.5717016783310602
zscore,val,after,predictive_entropy_p50,1.667290316493109
zscore,val,after,predictive_entropy_p75,1.7291982858437926
zscore,val,after,n,716.0
zscore,test,before,accuracy,0.2876602564102564
zscore,test,before,balanced_accuracy,0.28724721368418926
zscore,test,before,macro_f1,0.2824037625856734
zscore,test,before,log_loss,2.072842727257687
zscore,test,before,brier_multiclass,0.9046219827975915
zscore,test,before,ece_15bin,0.26942707812397154
zscore,test,before,top1_prob_mean,0.5570873345342279
zscore,test,before,top1_prob_p25,0.4026271824298059
zscore,test,before,top1_prob_p50,0.516867171005349
zscore,test,before,top1_prob_p75,0.6978539492693833
zscore,test,before,top1_top2_margin_mean,0.33703809122373835
zscore,test,before,top1_top2_margin_p25,0.11290857762376845
zscore,test,before,top1_top2_margin_p50,0.2592320892120429
zscore,test,before,top1_top2_margin_p75,0.5203236275565094
zscore,test,before,predictive_entropy_mean,1.1196389066379548
zscore,test,before,predictive_entropy_p25,0.8725157077536148
zscore,test,before,predictive_entropy_p50,1.1963052683422122
zscore,test,before,predictive_entropy_p75,1.427478925156048
zscore,test,before,n,2496.0
zscore,test,after,accuracy,0.2876602564102564
zscore,test,after,balanced_accuracy,0.28724721368418926
zscore,test,after,macro_f1,0.2824037625856734
zscore,test,after,log_loss,1.6631689106378589
zscore,test,after,brier_multiclass,0.7917294384772026
zscore,test,after,ece_15bin,0.04159219481822474
zscore,test,after,top1_prob_mean,0.32906864891889437
zscore,test,after,top1_prob_p25,0.2553913441984076
zscore,test,after,top1_prob_p50,0.30288472085884555
zscore,test,after,top1_prob_p75,0.37449762931349045
zscore,test,after,top1_top2_margin_mean,0.10720108161495048
