condition,split,n,metric,value
raw,test,1427,top1_top2_margin_p95,0.8314530161672266
raw,test,1427,amb_c2_recall,0.5564853556485355
raw,test,1427,amb_c1_c5_c6_internal,0.43356643356643354
raw,test,1427,amb_c3_c4_pair,0.1945031712473573
raw,test,1427,amb_c3_to_c2_absorb,0.2773109243697479
raw,test,1427,amb_c4_to_c2_absorb,0.19148936170212766
raw,test,1427,precision_C1,0.3127962085308057
raw,test,1427,recall_C1,0.27848101265822783
raw,test,1427,f1_C1,0.29464285714285715
raw,test,1427,support_C1,237.0
raw,test,1427,precision_C2,0.35278514588859416
raw,test,1427,recall_C2,0.5564853556485355
raw,test,1427,f1_C2,0.4318181818181818
raw,test,1427,support_C2,239.0
raw,test,1427,precision_C3,0.366120218579235
raw,test,1427,recall_C3,0.2815126050420168
raw,test,1427,f1_C3,0.3182897862232779
raw,test,1427,support_C3,238.0
raw,test,1427,precision_C4,0.3604060913705584
raw,test,1427,recall_C4,0.3021276595744681
raw,test,1427,f1_C4,0.3287037037037037
raw,test,1427,support_C4,235.0
raw,test,1427,precision_C5,0.2549019607843137
raw,test,1427,recall_C5,0.2184873949579832
raw,test,1427,f1_C5,0.23529411764705882
raw,test,1427,support_C5,238.0
raw,test,1427,precision_C6,0.18823529411764706
raw,test,1427,recall_C6,0.2
raw,test,1427,f1_C6,0.19393939393939394
raw,test,1427,support_C6,240.0
zscore,train,6412,accuracy,0.9917342482844667
zscore,train,6412,balanced_accuracy,0.9917431911402067
zscore,train,6412,macro_f1,0.991739147326281
zscore,train,6412,weighted_f1,0.9917366731275159
zscore,train,6412,log_loss,0.36136233481861285
zscore,train,6412,brier_multiclass,0.1412047606811902
zscore,train,6412,ece_15bin,0.2735329281597942
zscore,train,6412,top1_prob_mean,0.7182013201246724
zscore,train,6412,top1_prob_p05,0.4233717443919244
zscore,train,6412,top1_prob_p25,0.6117319200819081
zscore,train,6412,top1_prob_p50,0.7367755268644927
zscore,train,6412,top1_prob_p75,0.8414591037414536
zscore,train,6412,top1_prob_p95,0.9490668090192216
zscore,train,6412,top1_top2_margin_mean,0.584306203760642
zscore,train,6412,top1_top2_margin_p05,0.17095679134650624
zscore,train,6412,top1_top2_margin_p25,0.4301363772166556
zscore,train,6412,top1_top2_margin_p50,0.6038484095191265
zscore,train,6412,top1_top2_margin_p75,0.758429360979275
zscore,train,6412,top1_top2_margin_p95,0.9188324771893219
zscore,train,6412,amb_c2_recall,0.991635687732342
zscore,train,6412,amb_c1_c5_c6_internal,0.0024875621890547263
zscore,train,6412,amb_c3_c4_pair,0.0033018867924528303
zscore,train,6412,amb_c3_to_c2_absorb,0.0009505703422053232
zscore,train,6412,amb_c4_to_c2_absorb,0.0
zscore,train,6412,precision_C1,0.9971777986829727
zscore,train,6412,recall_C1,0.9851301115241635
zscore,train,6412,f1_C1,0.9911173445535297
zscore,train,6412,support_C1,1076.0
zscore,train,6412,precision_C2,0.9897959183673469
zscore,train,6412,recall_C2,0.991635687732342
zscore,train,6412,f1_C2,0.9907149489322191
zscore,train,6412,support_C2,1076.0
zscore,train,6412,precision_C3,0.9923954372623575
zscore,train,6412,recall_C3,0.9923954372623575
zscore,train,6412,f1_C3,0.9923954372623575
zscore,train,6412,support_C3,1052.0
zscore,train,6412,precision_C4,0.9833333333333333
zscore,train,6412,recall_C4,0.9943820224719101
zscore,train,6412,f1_C4,0.9888268156424581
zscore,train,6412,support_C4,1068.0
zscore,train,6412,precision_C5,0.9943872778297475
zscore,train,6412,recall_C5,0.9934579439252337
zscore,train,6412,f1_C5,0.9939223936418887
zscore,train,6412,support_C5,1070.0
zscore,train,6412,precision_C6,0.9934579439252337
zscore,train,6412,recall_C6,0.9934579439252337
zscore,train,6412,f1_C6,0.9934579439252337
zscore,train,6412,support_C6,1070.0
zscore,val,1436,accuracy,0.31963788300835655
zscore,val,1436,balanced_accuracy,0.31962240365386674
zscore,val,1436,macro_f1,0.31396919962637077
zscore,val,1436,weighted_f1,0.3138905030143278
zscore,val,1436,log_loss,1.8438254987663305
zscore,val,1436,brier_multiclass,0.8472215485780283
zscore,val,1436,ece_15bin,0.21571676385402122
zscore,val,1436,top1_prob_mean,0.5353546468623779
zscore,val,1436,top1_prob_p05,0.2895031701674647
zscore,val,1436,top1_prob_p25,0.39256440622772515
zscore,val,1436,top1_prob_p50,0.49680851130457626
zscore,val,1436,top1_prob_p75,0.6581683544442571
zscore,val,1436,top1_prob_p95,0.8987919899331438
zscore,val,1436,top1_top2_margin_mean,0.3075417184242342
zscore,val,1436,top1_top2_margin_p05,0.015331630661678038
zscore,val,1436,top1_top2_margin_p25,0.0938139502843778
zscore,val,1436,top1_top2_margin_p50,0.22749586354403278
zscore,val,1436,top1_top2_margin_p75,0.46999628559426276
zscore,val,1436,top1_top2_margin_p95,0.8384641402634148
zscore,val,1436,amb_c2_recall,0.55
zscore,val,1436,amb_c1_c5_c6_internal,0.39305555555555555
zscore,val,1436,amb_c3_c4_pair,0.25840336134453784
zscore,val,1436,amb_c3_to_c2_absorb,0.18410041841004185
zscore,val,1436,amb_c4_to_c2_absorb,0.14767932489451477
zscore,val,1436,precision_C1,0.32916666666666666
zscore,val,1436,recall_C1,0.32916666666666666
zscore,val,1436,f1_C1,0.32916666666666666
zscore,val,1436,support_C1,240.0
zscore,val,1436,precision_C2,0.38596491228070173
zscore,val,1436,recall_C2,0.55
zscore,val,1436,f1_C2,0.4536082474226804
zscore,val,1436,support_C2,240.0
zscore,val,1436,precision_C3,0.2907488986784141
zscore,val,1436,recall_C3,0.27615062761506276
zscore,val,1436,f1_C3,0.2832618025751073
zscore,val,1436,support_C3,239.0
zscore,val,1436,precision_C4,0.3882978723404255
zscore,val,1436,recall_C4,0.3080168776371308
zscore,val,1436,f1_C4,0.34352941176470586
zscore,val,1436,support_C4,237.0
zscore,val,1436,precision_C5,0.22119815668202766
zscore,val,1436,recall_C5,0.1991701244813278
zscore,val,1436,f1_C5,0.2096069868995633
zscore,val,1436,support_C5,241.0
zscore,val,1436,precision_C6,0.2747747747747748
zscore,val,1436,recall_C6,0.25523012552301255
zscore,val,1436,f1_C6,0.2646420824295011
zscore,val,1436,support_C6,239.0
zscore,test,1427,accuracy,0.2985283812193413
zscore,test,1427,balanced_accuracy,0.29855306151874533
zscore,test,1427,macro_f1,0.2914298803778043
zscore,test,1427,weighted_f1,0.2912563610888423
zscore,test,1427,log_loss,1.8708171439193966
zscore,test,1427,brier_multiclass,0.8638356836223801
