condition,split,true_class,pred_class,count
zscore,test,C5,C2,44
zscore,test,C5,C3,10
zscore,test,C5,C4,33
zscore,test,C5,C5,57
zscore,test,C5,C6,49
zscore,test,C6,C1,50
zscore,test,C6,C2,66
zscore,test,C6,C3,17
zscore,test,C6,C4,19
zscore,test,C6,C5,47
zscore,test,C6,C6,41
