epoch,train_loss,val_loss,val_accuracy,val_macro_f1,lr,time_seconds,is_best
1,1.7166183436578761,1.5755600032700137,0.36629526462395545,0.32019376980173314,0.001,0.5811631679534912,True
2,1.5986897538620015,1.4901756765450607,0.383008356545961,0.3594270750045398,0.001,0.5104708671569824,True
3,1.4963406859824453,1.4065381540893511,0.4101671309192201,0.3915010663326599,0.001,0.488264799118042,True
4,1.4008278680160056,1.3168873013228095,0.4428969359331476,0.4074949189938046,0.001,0.5004222393035889,True
5,1.3345364652718148,1.2834978590104573,0.46518105849582175,0.43864201414863957,0.001,0.4867067337036133,True
6,1.2677720891484898,1.2262066777038043,0.4881615598885794,0.47943647050935456,0.001,0.4936995506286621,True
7,1.2276807182369125,1.3161090605770314,0.4505571030640669,0.430036302442514,0.001,0.4887702465057373,False
8,1.1738592208510106,1.2888874663948016,0.4568245125348189,0.44417100721228625,0.001,0.48438072204589844,False
9,1.134610657385566,1.19500620086213,0.504874651810585,0.48503903945599314,0.001,0.4850130081176758,True
10,1.0886278631385238,1.2135852698164067,0.4895543175487465,0.48330863099531424,0.001,0.4512908458709717,False
11,1.0534559799891594,1.201236710616473,0.49651810584958217,0.48047501001764753,0.001,0.47926878929138184,False
12,1.0560267120320872,1.2323633662131837,0.5188022284122563,0.511206387569377,0.001,0.467252254486084,True
13,1.0037775164608351,1.1910820509771451,0.5201949860724234,0.5193580070523164,0.001,0.45073509216308594,True
14,0.9798520973750523,1.1550485858678154,0.5487465181058496,0.544175516955434,0.001,0.47042417526245117,True
15,0.9359522217039904,1.1215411996608988,0.5348189415041783,0.5249959993480527,0.001,0.5124285221099854,False
16,0.9195319594849071,1.2261822869414905,0.5215877437325905,0.5132959582428983,0.001,0.4972343444824219,False
17,0.8918801365758356,1.1905551247693038,0.5327298050139275,0.5263881536667703,0.001,0.4938974380493164,False
18,0.8659478698532357,1.2497268771145669,0.5264623955431755,0.5224593599785151,0.001,0.46883511543273926,False
19,0.8422167729156432,1.2728236948547258,0.5250696378830083,0.5131980609344818,0.001,0.48397159576416016,False
20,0.80380331848981,1.3265045460593734,0.5222841225626741,0.5087750015546176,0.001,0.4669666290283203,False
21,0.7865068776043816,1.225853548533073,0.541782729805014,0.5343516081331994,0.001,0.4693582057952881,False
22,0.7810006320141883,1.2555855394530429,0.5313370473537604,0.522571120253529,0.001,0.4778633117675781,False
23,0.7266503194682835,1.387043178538094,0.5076601671309192,0.4974561201916417,0.001,0.47203660011291504,False
24,0.7277426681366848,1.3165114515546636,0.5229805013927576,0.5169479785599213,0.001,0.531099796295166,False
25,0.6906988073049749,1.3014225625020548,0.5341225626740947,0.5300879473029744,0.001,0.4927372932434082,False
26,0.6552456052542774,1.3286762150383262,0.5445682451253482,0.5407523989663062,0.001,0.46617937088012695,False
27,0.6331845188393714,1.2849135350093537,0.5299442896935933,0.5146525322061611,0.001,0.5135126113891602,False
28,0.6291139892913071,1.4128919827406785,0.5292479108635098,0.5201041716621512,0.001,0.48659229278564453,False
29,0.6295273605355306,1.3581030596161785,0.5327298050139275,0.5222759554824205,0.001,0.516716480255127,False
