split,true_class,pred_class,count
train,C1,C1,808
train,C1,C2,13
train,C1,C3,0
train,C1,C4,3
train,C1,C5,196
train,C1,C6,56
train,C2,C1,15
train,C2,C2,921
train,C2,C3,81
train,C2,C4,39
train,C2,C5,13
train,C2,C6,7
train,C3,C1,6
train,C3,C2,114
train,C3,C3,693
train,C3,C4,226
train,C3,C5,7
train,C3,C6,6
train,C4,C1,3
train,C4,C2,36
train,C4,C3,165
train,C4,C4,814
train,C4,C5,39
train,C4,C6,11
train,C5,C1,124
train,C5,C2,11
train,C5,C3,4
train,C5,C4,18
train,C5,C5,834
train,C5,C6,79
train,C6,C1,105
train,C6,C2,8
train,C6,C3,1
train,C6,C4,9
train,C6,C5,129
train,C6,C6,818
val,C1,C1,113
val,C1,C2,4
val,C1,C3,0
val,C1,C4,30
val,C1,C5,83
val,C1,C6,10
val,C2,C1,12
val,C2,C2,169
val,C2,C3,28
val,C2,C4,20
val,C2,C5,9
val,C2,C6,2
val,C3,C1,4
val,C3,C2,46
val,C3,C3,105
val,C3,C4,69
val,C3,C5,9
val,C3,C6,6
val,C4,C1,1
val,C4,C2,12
val,C4,C3,65
val,C4,C4,122
val,C4,C5,23
val,C4,C6,14
val,C5,C1,53
val,C5,C2,14
val,C5,C3,6
val,C5,C4,36
val,C5,C5,104
val,C5,C6,28
val,C6,C1,38
val,C6,C2,9
val,C6,C3,2
val,C6,C4,35
val,C6,C5,43
val,C6,C6,112
test,C1,C1,128
test,C1,C2,16
test,C1,C3,0
test,C1,C4,1
test,C1,C5,65
test,C1,C6,27
test,C2,C1,12
test,C2,C2,173
test,C2,C3,36
test,C2,C4,13
test,C2,C5,5
test,C2,C6,0
test,C3,C1,4
test,C3,C2,59
test,C3,C3,101
test,C3,C4,71
test,C3,C5,3
test,C3,C6,0
test,C4,C1,0
test,C4,C2,28
test,C4,C3,60
test,C4,C4,131
test,C4,C5,14
test,C4,C6,2
test,C5,C1,44
test,C5,C2,9
test,C5,C3,1
test,C5,C4,33
test,C5,C5,101
test,C5,C6,50
test,C6,C1,33
test,C6,C2,14
test,C6,C3,1
test,C6,C4,18
test,C6,C5,83
test,C6,C6,91
