split,true_class,pred_class,count
train,C1,C1,838
train,C1,C2,36
train,C1,C3,1
train,C1,C4,13
train,C1,C5,136
train,C1,C6,52
train,C2,C1,11
train,C2,C2,930
train,C2,C3,97
train,C2,C4,18
train,C2,C5,12
train,C2,C6,8
train,C3,C1,4
train,C3,C2,165
train,C3,C3,657
train,C3,C4,212
train,C3,C5,5
train,C3,C6,9
train,C4,C1,1
train,C4,C2,62
train,C4,C3,286
train,C4,C4,679
train,C4,C5,23
train,C4,C6,17
train,C5,C1,254
train,C5,C2,33
train,C5,C3,6
train,C5,C4,60
train,C5,C5,590
train,C5,C6,127
train,C6,C1,131
train,C6,C2,29
train,C6,C3,2
train,C6,C4,22
train,C6,C5,137
train,C6,C6,749
val,C1,C1,150
val,C1,C2,10
val,C1,C3,14
val,C1,C4,16
val,C1,C5,37
val,C1,C6,13
val,C2,C1,9
val,C2,C2,182
val,C2,C3,41
val,C2,C4,4
val,C2,C5,2
val,C2,C6,2
val,C3,C1,2
val,C3,C2,59
val,C3,C3,119
val,C3,C4,50
val,C3,C5,4
val,C3,C6,5
val,C4,C1,0
val,C4,C2,14
val,C4,C3,96
val,C4,C4,92
val,C4,C5,18
val,C4,C6,17
val,C5,C1,72
val,C5,C2,15
val,C5,C3,10
val,C5,C4,26
val,C5,C5,87
val,C5,C6,31
val,C6,C1,40
val,C6,C2,13
val,C6,C3,15
val,C6,C4,21
val,C6,C5,29
val,C6,C6,121
test,C1,C1,162
test,C1,C2,23
test,C1,C3,1
test,C1,C4,0
test,C1,C5,28
test,C1,C6,23
test,C2,C1,11
test,C2,C2,190
test,C2,C3,31
test,C2,C4,3
test,C2,C5,3
test,C2,C6,1
test,C3,C1,3
test,C3,C2,52
test,C3,C3,107
test,C3,C4,72
test,C3,C5,3
test,C3,C6,1
test,C4,C1,0
test,C4,C2,18
test,C4,C3,76
test,C4,C4,122
test,C4,C5,13
test,C4,C6,6
test,C5,C1,77
test,C5,C2,7
test,C5,C3,2
test,C5,C4,33
test,C5,C5,61
test,C5,C6,58
test,C6,C1,56
test,C6,C2,24
test,C6,C3,2
test,C6,C4,23
test,C6,C5,49
test,C6,C6,86
