split,true_class,pred_class,count
train,C1,C1,566
train,C1,C2,99
train,C1,C3,13
train,C1,C4,15
train,C1,C5,162
train,C1,C6,221
train,C2,C1,4
train,C2,C2,921
train,C2,C3,57
train,C2,C4,59
train,C2,C5,6
train,C2,C6,31
train,C3,C1,1
train,C3,C2,200
train,C3,C3,457
train,C3,C4,383
train,C3,C5,3
train,C3,C6,20
train,C4,C1,2
train,C4,C2,70
train,C4,C3,144
train,C4,C4,774
train,C4,C5,26
train,C4,C6,48
train,C5,C1,149
train,C5,C2,51
train,C5,C3,23
train,C5,C4,107
train,C5,C5,480
train,C5,C6,263
train,C6,C1,55
train,C6,C2,39
train,C6,C3,18
train,C6,C4,44
train,C6,C5,119
train,C6,C6,798
val,C1,C1,100
val,C1,C2,28
val,C1,C3,12
val,C1,C4,11
val,C1,C5,33
val,C1,C6,53
val,C2,C1,9
val,C2,C2,172
val,C2,C3,26
val,C2,C4,9
val,C2,C5,3
val,C2,C6,21
val,C3,C1,0
val,C3,C2,51
val,C3,C3,98
val,C3,C4,74
val,C3,C5,0
val,C3,C6,5
val,C4,C1,1
val,C4,C2,21
val,C4,C3,51
val,C4,C4,136
val,C4,C5,19
val,C4,C6,11
val,C5,C1,26
val,C5,C2,22
val,C5,C3,10
val,C5,C4,32
val,C5,C5,104
val,C5,C6,44
val,C6,C1,16
val,C6,C2,17
val,C6,C3,9
val,C6,C4,40
val,C6,C5,30
val,C6,C6,126
test,C1,C1,90
test,C1,C2,13
test,C1,C3,6
test,C1,C4,11
test,C1,C5,53
test,C1,C6,67
test,C2,C1,5
test,C2,C2,162
test,C2,C3,40
test,C2,C4,20
test,C2,C5,1
test,C2,C6,9
test,C3,C1,0
test,C3,C2,57
test,C3,C3,82
test,C3,C4,93
test,C3,C5,3
test,C3,C6,2
test,C4,C1,0
test,C4,C2,12
test,C4,C3,30
test,C4,C4,154
test,C4,C5,17
test,C4,C6,24
test,C5,C1,34
test,C5,C2,15
test,C5,C3,7
test,C5,C4,43
test,C5,C5,79
test,C5,C6,60
test,C6,C1,38
test,C6,C2,12
test,C6,C3,4
test,C6,C4,25
test,C6,C5,33
test,C6,C6,126
