split,true_class,pred_class,count
train,C1,C1,947
train,C1,C2,11
train,C1,C3,0
train,C1,C4,0
train,C1,C5,96
train,C1,C6,22
train,C2,C1,4
train,C2,C2,982
train,C2,C3,76
train,C2,C4,7
train,C2,C5,6
train,C2,C6,1
train,C3,C1,0
train,C3,C2,49
train,C3,C3,953
train,C3,C4,49
train,C3,C5,1
train,C3,C6,0
train,C4,C1,0
train,C4,C2,15
train,C4,C3,166
train,C4,C4,875
train,C4,C5,11
train,C4,C6,1
train,C5,C1,51
train,C5,C2,8
train,C5,C3,8
train,C5,C4,20
train,C5,C5,951
train,C5,C6,32
train,C6,C1,17
train,C6,C2,9
train,C6,C3,2
train,C6,C4,12
train,C6,C5,95
train,C6,C6,935
val,C1,C1,138
val,C1,C2,11
val,C1,C3,6
val,C1,C4,10
val,C1,C5,61
val,C1,C6,14
val,C2,C1,7
val,C2,C2,169
val,C2,C3,42
val,C2,C4,4
val,C2,C5,8
val,C2,C6,10
val,C3,C1,4
val,C3,C2,41
val,C3,C3,119
val,C3,C4,63
val,C3,C5,8
val,C3,C6,4
val,C4,C1,2
val,C4,C2,8
val,C4,C3,104
val,C4,C4,90
val,C4,C5,19
val,C4,C6,14
val,C5,C1,43
val,C5,C2,14
val,C5,C3,12
val,C5,C4,22
val,C5,C5,122
val,C5,C6,28
val,C6,C1,29
val,C6,C2,4
val,C6,C3,10
val,C6,C4,31
val,C6,C5,49
val,C6,C6,116
test,C1,C1,115
test,C1,C2,19
test,C1,C3,6
test,C1,C4,1
test,C1,C5,59
test,C1,C6,37
test,C2,C1,18
test,C2,C2,145
test,C2,C3,50
test,C2,C4,9
test,C2,C5,10
test,C2,C6,7
test,C3,C1,0
test,C3,C2,55
test,C3,C3,123
test,C3,C4,56
test,C3,C5,4
test,C3,C6,0
test,C4,C1,2
test,C4,C2,27
test,C4,C3,69
test,C4,C4,119
test,C4,C5,11
test,C4,C6,7
test,C5,C1,41
test,C5,C2,8
test,C5,C3,0
test,C5,C4,42
test,C5,C5,102
test,C5,C6,45
test,C6,C1,24
test,C6,C2,18
test,C6,C3,2
test,C6,C4,14
test,C6,C5,81
test,C6,C6,101
